beer_name,brewery,style,abv,ibu,comment,rating,brewery_city,brewery_state
Anthem Cherry,Wandering Aengus Ciderworks,Cider,6.2,0,,4,Salem,OR
Gigantic IPA,Gigantic Brewing Company,IPA - American,7.3,85,,4.5,Portland,OR
1811 Lager,Fort George Brewery,Lager - North American Adjunct,5.1,0,Hoppy for a lager.  Not too bad.,3.5,Astoria,OR
Quick Wit,Fort George Brewery,Witbier,5.5,0,Good for a Belgian.  Not my style though.,3.25,Astoria,OR
Sunrise Oatmeal Pale Ale,Fort George Brewery,Pale Ale - American,5.2,0,Interesting oaty flavors mixed with hoppiness,3.75,Astoria,OR
The Optimist,Fort George Brewery,IPA - American,6.2,50,"Big time hoppy flavors, but not too bitter",4,Astoria,OR
Vortex IPA,Fort George Brewery,IPA - American,7.7,97,I can see why it's their flagship.  Great flavors!,4.5,Astoria,OR
Working Girl Porter,Fort George Brewery,Porter - American,4.6,30,Strong flavors.  Almost more like a stout.  Still tasty though.,4.25,Astoria,OR
Cavatica Stout,Fort George Brewery,Stout - American,8.8,0,A little too bitter for my tastes,2.75,Astoria,OR
North VII,Fort George Brewery,IPA - Belgian,9,0,"If I liked Belgians, I would like this.",3,Astoria,OR
3-Way IPA (2015),Fort George Brewery,IPA - American,5.7,70,,3.5,Astoria,OR
Plaid Scotch Ale,Fort George Brewery,Scotch Ale / Wee Heavy,7,0,"The best scotch ale I have ever had, still strange though.",3.25,Astoria,OR
The Road To Rye,Fort George Brewery,Rye Beer / Rye IPA,6,0,Missing a little flavor compared to their other IPAs but decent for a RyePA.,3,Astoria,OR
"Anni, Are You Oak-Aged?",Fort George Brewery,Scotch Ale / Wee Heavy,9.7,0,Meh.  All I taste is whiskey.,2.5,Astoria,OR
Squashed Stout,Fort George Brewery,Stout - Other,6.7,0,Interesting squash flavor.  Tastes more like a porter than a stout.,4.25,Astoria,OR
Eruption Imperial Red,Worthy Brewing,Red Ale - Imperial / Double,8,100,"Wow, that's an excellent red!",4.5,Bend,OR
Kick Axe Pale Ale,Lompoc Brewing,Pale Ale - American,5.2,40,,4.25,Portland,OR
Stout,Cerveza Ave Negra,Dark Ale,5,0,Excellent dark ale from Argentina!,4.25,,
Harvest Patch Shandy,Jacob Leinenkugel Brewing Company,Pumpkin / Yam Beer,4.2,11,Why do I continue to try these Leinie shandies...? Always mediocre.,1.75,Chippewa Falls,WI
Loser Pale Ale,Elysian Brewing,Pale Ale - American,7,50,A little too malty for me,3,Seattle,WA
Summer Honey,Angry Orchard Cider Company,Cider,5,0,Good lingering honey flavor,4,Cincinnati,OH
Seasonal Release Oktoberfest,Ninkasi Brewing Company,Märzen,5.9,25,First o-fest of the year and it's mighty tasty!,4.25,Eugene,OR
Rauchbier,Cerveza Artesanal Reina Serrana,Rauchbier,4.5,0,By far the worst beer I have ever tried.  Smoked beers are gross.,0.25,Sierra de La Ventana,Buenos Aires
Night Owl Pumpkin Ale,Elysian Brewing,Pumpkin / Yam Beer,5.9,0,The best pumpkin ale I have had (non-Porter),3.75,Seattle,WA
Pumpkin Wheat,Shock Top Brewing Co.,Pumpkin / Yam Beer,5.1,0,Very little flavor,2,St Louis,MO
Quilter's Irish Death,Iron Horse Brewery,Strong Ale - American,7.8,0,Tasty dark ale!,4.25,Ellensburg,WA
Pumpkin Ale,Laurelwood Brewing Co.,Pumpkin / Yam Beer,7.5,25,Good flavors and nice pumpkin flavor,4,Portland,OR
Hop Stout (Hop Kitchen #10),New Belgium Brewing Company,Stout - Imperial / Double,8,100,Tasty dark IPA/stout hybrid,4.25,Fort Collins,CO
GravensTime,Lagunitas Brewing Company,Fruit Beer,5.8,0,Cider/IPA hybrid.  Good stuff.,3.75,Petaluma,CA
Vlad The Imp Aler,Cascade Brewing Company (USA),American Wild Ale,10.3,0,,4.25,Portland,OR
Apricot Ale (2014),Cascade Brewing Company (USA),Sour Ale,7.6,0,Yum!,4.5,Portland,OR
Cranberry (2014),Cascade Brewing Company (USA),Sour Ale,8.2,0,,2,Portland,OR
Blueberry,Cascade Brewing Company (USA),American Wild Ale,7.33,0,,4.25,Portland,OR
Blackcap Raspberry (2015),Cascade Brewing Company (USA),American Wild Ale,7.56,0,,4.25,Portland,OR
Black Bear XX,Alameda Brewing Co.,Stout - Foreign / Export,7,0,,4,Portland,OR
Evil Twin,Heretic Brewing Company,Red Ale - Imperial / Double,6.8,45,"A little flat, but good reddish flavors.",3.5,Fairfield,CA
Wholesome Apple,Swift Cider,Cider,6,0,"Nice, crisp apple.  Not too sweet.",4,Portland,OR
Evil Harvest,Crooked Fence Brewing,Pumpkin / Yam Beer,6,0,Meh.  It's OK.  Not much pumpkin flavor.,2.75,Garden City,ID
Original Amber Ale,Oakshire Brewing,Red Ale - American Amber / Red,5.4,24,Decent,3.75,Eugene,OR
Opal S.A.S.H. Cider,Cider Riot,Cider,6.9,0,Strange flavor,2,Portland,OR
Strawberry Fields,Bull Run Cider,Cider,6.5,0,One of best ciders I've had!,4.75,Forest Grove,OR
Pomegranate Cider,Two Rivers Cider Company,Cider,6.5,0,Awesome color and pom flavor,4,Sacramento,CA
Tart Apple,Bull Run Cider,Cider,0,0,It's just a tester.  Decent but not spectacular.,2.25,Forest Grove,OR
Pinup Porter,Southern Oregon Brewing (SOB),Porter - Other,5.5,30,"Decent flavor, but it is really lacking on carbonation",3.25,Medford,OR
Nukin' Futz,Track 7 Brewing Company,Porter - American,7.3,0,Peanut butter roasty delicious,4.25,Sacramento,CA
1763 West Country,Cider Riot,Cider,6.9,0,Gross,1.25,Portland,OR
Salted Caramel Brownie Brown Ale,New Belgium Brewing Company,Brown Ale - American,6.3,14,Not too sweet.  Great brown ale.,4.5,Fort Collins,CO
Vinter Varmer,Laurelwood Brewing Co.,Winter Ale,6.4,49,"Good, but it's missing some roasty flavor",3.75,Portland,OR
Paddle Board Porter,Cascade Lakes Brewing Company,Porter - American,5.4,34,Tasty nutty flavors.  A little rich at the end but still a good porter.,4,Redmond,OR
Organic Porter,Eel River Brewing Co.,Porter - American,5.8,19,"Solid.  Nothing special, but a good porter.",3.5,Fortuna,CA
Overcast Espresso Stout,Oakshire Brewing,Stout - Other,5.8,37,Wow.  That is an incredible coffee stout!,4.75,Eugene,OR
Breakfast Porter,Terminal Gravity Brewing (TG),Porter - American,5.7,40,Interesting hoppy and roasty flavors,4,Enterprise,OR
Cinnamon Horchata Ale,Blue Moon Brewing Company,Herbed / Spiced Beer,5.5,25,"Excellent cinnamon flavors.  Not much rice milk flavor, but that might be a good sign for a beer.",4.25,Denver,CO
Chai Spiced Ale,Blue Moon Brewing Company,Herbed / Spiced Beer,5.4,0,A little too heavy on the spices,3,Denver,CO
White IPA,Blue Moon Brewing Company,IPA - White,5.9,45,"Nothing special, but not too shabby",3,Denver,CO
IRA,Double Mountain Brewery & Taproom,IPA - American,6.5,65,Pretty good.  Needs a little more red/malty flavor.,3.5,Hood River,OR
S'more Stout,Base Camp Brewing Company,Stout - American,7.7,70,,4,Portland,OR
New Wave Amber,Base Camp Brewing Company,Lager - American Amber / Red,5.6,20,,4,Portland,OR
Envy (7 Deadly Sins),Reverend Nat's Hard Cider,Cider,10.2,85,Huge apple flavor followed by straight booze tastes and then a little hops to finish.,4.5,Portland,OR
Black Widow Porter,McMenamins,Porter - American,7.35,38,,4.25,Portland,OR
Ruby,McMenamins,Fruit Beer,4,5,Tasty raspberry ale,4,Portland,OR
Pumpkin Ale,Laurelwood Brewing Co.,Pumpkin / Yam Beer,7.5,25,Solid,4,Portland,OR
Fall Saison,Laurelwood Brewing Co.,Saison / Farmhouse Ale,6.4,25,Mighty hoppy saison.  Pretty good.,3.5,Portland,OR
Space Stout,Laurelwood Brewing Co.,Stout - Other,6.5,0,"Great coffee, chocolate, and roasty flavors",4.5,Portland,OR
Anchor Steam Beer,Anchor Brewing Company,California Common,4.8,35,Not too shabby,3.5,San Francisco,CA
Ace Pineapple Cider,Ace Cider (The California Cider Company),Cider,5,0,Delicious!,4.5,Sebastopol,CA
Double Chocolate Stout,Rogue Ales & Spirits,Stout - American Imperial / Double,8.7,68,Perfect chocolate flavor,5,Newport,OR
Hazelnut Brown Nectar,Rogue Ales & Spirits,Brown Ale - American,6.2,33,So good on tap,5,Newport,OR
Mocha Porter,Rogue Ales & Spirits,Porter - American,5.3,54,Decent,3,Newport,OR
Fresh Roast Brown Ale,Issaquah Brew House (Rogue Ales),Brown Ale - Belgian,0,0,Excellent brown,4.5,Issaquah,WA
American Amber Ale,Rogue Ales & Spirits,Red Ale - American Amber / Red,5.3,53,,3.75,Newport,OR
Rogue Farms OREgasmic Ale,Rogue Ales & Spirits,Pale Ale - American,6.6,90,Roasty and excellently malty,4.5,Newport,OR
Shakespeare Oatmeal Stout,Rogue Ales & Spirits,Stout - Oatmeal,5.7,60,Tasty on nitro,4.25,Newport,OR
Yellow Snow IPA,Rogue Ales & Spirits,IPA - American,6.6,82,"Tons of hops, interesting taste",4,Newport,OR
XS Russian Imperial Stout,Rogue Ales & Spirits,Stout - Russian Imperial,11,88,"Wow, that's a strong stout",4.25,Newport,OR
Vina,21st Amendment Brewery,Blonde Ale - Belgian Blonde / Golden,5.4,10,Tasty easy-drinking Belgian,4,San Francisco,CA
Dr Frudi,21st Amendment Brewery,Pale Ale - American,5.6,35,Classic hoppy pale,4,San Francisco,CA
Bruges Rouge,21st Amendment Brewery,Other,6.9,65,Tasty IRA.  Not too much Belgian flavor.,4.25,San Francisco,CA
Kriek Forte D'Or,21st Amendment Brewery,Belgian Strong Pale Ale,9.5,26,"Still don't like strong Belgians.  If I did, I would probably like this.",3,San Francisco,CA
Brew Free! or Die IPA,21st Amendment Brewery,IPA - American,7,70,Hoppy and tasty,4,San Francisco,CA
Drunken Monk Ale,21st Amendment Brewery,Belgian Strong Dark Ale,9.3,37,Way too much Belgian here,2,San Francisco,CA
Punkuccino Coffee Pumpkin Ale (2015),Elysian Brewing,Pumpkin / Yam Beer,5,0,,4.25,Seattle,WA
Salted Caramel Brownie Brown Ale,New Belgium Brewing Company,Brown Ale - American,6.3,14,Even better on tap!,4.75,Fort Collins,CO
Cinnamon Pear Cider,Atlas Cider Company,Cider,8.5,0,Sweet and delicious,4.75,Bend,OR
I Like My Sugar With Coffee & Cream,Ex Novo Brewing,Cream Ale,4.5,15,Meh.  A little bland.,3,Portland,OR
Winter Abbey Spice,Reverend Nat's Hard Cider,Cider,7.4,0,Big cinnamon flavors and can taste the alcohol in a subtle and excellent way,4.75,Portland,OR
Imperial Black Ipa,Culmination Brewery,Dark Ale,5,0,Hoppy and smooth imperial IBA,4.25,Portland,OR
Kölsch,Double Mountain Brewery & Taproom,Kölsch,5.2,40,Solid German brew,4,Hood River,OR
Belgian White,Blue Moon Brewing Company,Witbier,5.4,9,"A little sweet, but not terrible.  Amazing this used to be my go-to beer.",2.75,Denver,CO
Noir,Ninkasi Brewing Company,Stout - Milk / Sweet,7.6,60,"Excellent coffee, cream, and chocolate flavors",4.5,Eugene,OR
Alalā Hawaiian Crow Porter,Mehana Brewing Company,Porter - American,5.25,27,,4,Hilo,HI
Peanut Butter Milk Stout,Belching Beaver Brewery,Stout - Milk / Sweet,5.3,30,,3,Vista,CA
Koko Brown,Kona Brewing Company,Brown Ale - American,5.5,28,Coconutty delicious,4,Kailua-Kona,HI
Pipeline Porter,Kona Brewing Company,Porter - American,5.3,23,Excellent coffee flavors,4.5,Kailua-Kona,HI
Black Sand Porter,Kona Brewing Company,Porter - American,6.5,0,,3.5,Kailua-Kona,HI
White Mountain Porter,Big Island Brewhaus,Porter - Other,5.8,35,Excellent coconut flavor.  Needs a little more carbonation though.,4,Kamuela,HI
Big Wave Golden Ale,Kona Brewing Company,Golden Ale,4.4,5,Tasty on a warm day,4,Kailua-Kona,HI
Pipeline Porter,Kona Brewing Company,Porter - American,5.3,23,Delicious in the bottle!,4.5,Kailua-Kona,HI
Breakside IPA,Breakside Brewery,IPA - American,6.8,70,,4.25,Portland,OR
Kihei Kölsch,Maui Brewing Company,Kölsch,5.2,42,,3,"Lahaina, Maui",HI
Stella Artois,Stella Artois,Lager - Euro,5,24,Meh.  My options were this or Coors Light.,2.5,3000 Leuven,Vlaams-Brabant
Lavaman Red Ale,Kona Brewing Company,Red Ale - American Amber / Red,5.6,30,Solid red.  Nice maltiness.,4,Kailua-Kona,HI
Crisp Apple,Angry Orchard Cider Company,Cider,5,0,Sweet and tasty,4,Cincinnati,OH
CoCoNut PorTeR,Maui Brewing Company,Porter - American,6,30,An almost perfect Porter.  Even better on tap!,4.75,"Lahaina, Maui",HI
Lahaina Town Brown,Maui Brewing Company,Brown Ale - American,5.3,18,Tasty brown with good nutty flavors,4,"Lahaina, Maui",HI
10 Degrees of Separation,Coronado Brewing Company,Brown Ale - American,5.5,30,"Great nutty, coffee, and slight hoppy flavor",4.5,San Diego,CA
Paia Porter,Kona Brewing Company,Porter - Other,6.5,0,Solid porter. Not as good as Pipeline though.,4,Kailua-Kona,HI
ESB,Redhook Brewery,Extra Special / Strong Bitter,5.8,28,Smooth double IPA taste,3.75,Woodinville,WA
Double Overtime,Maui Brewing Company,IPA - Imperial / Double,9,100,Tasty imperial with great hoppy flavor but not too bitter,4.5,"Lahaina, Maui",HI
Chronic Amber Ale,Pizza Port Brewing Co. ,Red Ale - American Amber / Red,4.9,0,"Easy drinking amber.  Was expecting more from a marijuana themed beer, but I suppose the skunkiness not being there is good",3.75,Carlsbad,CA
Pliny the Elder,Russian River Brewing Company,IPA - Imperial / Double,8,100,Possibly the greatest IPA I have ever had.  Wow!,5,Santa Rosa,CA
Oats Face,Sierra Nevada Brewing Co.,Extra Special / Strong Bitter,7.1,59,Meh.  Not a great ESB.,2.25,Chico,CA
Stochasticity Project Your Father Smelt of Elderberries,Stone Brewing,Gruit / Ancient Herbed Ale,10.3,50,Way too smoky,2,Escondido,CA
Jack Rose,Perennial Artisan Ales,Fruit Beer,8,0,Tasty cinnamon flavors,4,St Louis,MO
Chocolate Hazelnut Porter,Heretic Brewing Company,Porter - Other,7,33,Very smooth and good hazelnut flavor.  A little lacking on chocolate though.,4.25,Fairfield,CA
Mad Bark,Ciderboys Hard Cider,Cider,5,0,Cinnamony goodness,4.5,Stevens Point,WI
Dank Hop,Swift Cider,Cider,6.7,0,Tastes like a pineapple sour.  Pretty good,4,Portland,OR
Chocolate Porter,Block 15 Brewing Company,Porter - Other,5.5,22,Roasty with interesting bitter chocolate notes,4,Corvallis,OR
Ivan The Terrible,Big Sky Brewing Company,Stout - Russian Imperial,9.5,65,These Russian imperials are still a little much for me,3.5,Missoula,MT
Sled Wreck Winter Ale,Barley Brown's Beer,Winter Ale,8.5,75,Hoppy for a winter,3.75,Baker City,OR
Cherry Chocoholic Baltic Porter,Rusty Truck Brewing,Porter - Baltic,7.2,0,A little too bitter for my tastes,3.75,Lincoln City,OR
The Abyss (2015),Deschutes Brewery,Stout - American Imperial / Double,12.2,70,Definitely a one beer drunk kind of beer.  One of the best imperial stouts out there though.,4.5,Bend,OR
Rhubarbarian,2 Towns Ciderhouse,Cider,5,0,A little too sweet and lacking rhubarb flavor,3.25,Corvallis,OR
Das-Schutes Munich IPA,Deschutes Brewery,IPA - American,6.2,52,Nice mix of lager and hoppy flavors,4,Bend,OR
Hop Henge Experimental IPA (2015),Deschutes Brewery,IPA - Imperial / Double,9.5,95,Ew.  Weird piney taste.,1,Bend,OR
Sage Fight IPA,Deschutes Brewery,IPA - American,7.3,97,Strange flavors here too.  Expecting sage but it's a weird fake sage.,1,Bend,OR
Armory XPA,Deschutes Brewery,Pale Ale - American,5.9,58,Subtle pine,3.5,Bend,OR
The Dissident,Deschutes Brewery,Flanders Oud Bruin,10.5,18,Tasty sour brown ale,4,Bend,OR
Red Chair NWPA,Deschutes Brewery,Pale Ale - American,6.2,60,,3.5,Bend,OR
Sour Quad,Deschutes Brewery,Sour Ale,12,52,Super boozy but good flavor,4,Bend,OR
Hard Blackberry Cider,Atlas Cider Company,Cider,6.2,0,"Really sweet, pretty good flavor, but lacks carbonation",3.75,Bend,OR
Hard Apricot Cider,Atlas Cider Company,Cider,5.8,0,Excellent apricot flavor without being too sweet,4.5,Bend,OR
Santa's Private Reserve Ale,Rogue Ales & Spirits,Red Ale - American Amber / Red,5.1,74,Solid red,4,Newport,OR
XS Old Crustacean Barleywine,Rogue Ales & Spirits,Barleywine - American,11.5,110,"Definitely a sipper, but pretty good",4.25,Newport,OR
Dead Guy Ale,Rogue Ales & Spirits,Maibock/Helles Bock,6.5,40,Really malty but tasty,4,Newport,OR
Abominable Winter Ale,Hopworks Urban Brewery,Winter Ale,7.3,70,"Great hoppy flavor well-balanced with maltiness and slight spicy undertones.  By far, the best winter ale I have had.",4.25,Portland,OR
Apple,Portland Cider Company,Cider,5.5,0,Not too sweet with great apple flavor.  Good stuff.,4.5,Clackamas,OR
¡Tepache!,Reverend Nat's Hard Cider,Cider,3.2,0,Excellent by itself.  Great subtle pineapple near the end.,4.25,Portland,OR
Ace Perry Cider,Ace Cider (The California Cider Company),Perry,5,0,Too sweet for me,3,Sebastopol,CA
Inversion IPA,Deschutes Brewery,IPA - American,6.8,80,Hoppy and a little too bitter for me,3.75,Bend,OR
Stiegl Radler Grapefruit Naturtrüb,Stieglbrauerei zu Salzburg,Radler,2,0,"Tastes almost exactly like Squirt soda, and it makes sense that it should with only 2% ABV.  Good thing I like grapefruit soda.",3.75,Salzburg,
Survival Stout,Hopworks Urban Brewery,Stout - Other,5.8,35,Tasty coffee stout,4.25,Portland,OR
Indian Brown Ale,Dogfish Head Craft Brewery,Brown Ale - American,7.2,50,One of my favorites.  Perfect mix of hoppiness and roasty maltiness.,4.5,Milton,DE
Spaten Optimator,Spaten-Franziskaner-Löwenbräu-Gruppe,Doppelbock ,7.6,0,Excellent malty German flavor,4.25,München,
Super Snow Cap,Pyramid Breweries,Strong Ale - American,8.7,51,Solid,4,Seattle,WA
Merry Christmas & Happy New Year (Our Special Ale) (2015),Anchor Brewing Company,Winter Warmer,5.5,0,"Strong, strange sour bitter flavor",2,San Francisco,CA
Ace Berry Cider,Ace Cider (The California Cider Company),Cider,5,0,Tasty,4,Sebastopol,CA
Dubhe Imperial Black IPA,Uinta Brewing Company,IPA - Imperial / Double Black,9.2,109,"Good, but really bitter.  109 IBUs!",4,Salt Lake City,UT
Amber,Abita Brewing Company,Lager - American Amber / Red,4.5,17,Easily drinkable but nothing special,3,Abita Springs,LA
Dry Raspberry Hard Cider,Wyder's Cider,Cider,4,0,Tasty and not too sweet,4,Middlebury,VT
Hopworks IPA,Hopworks Urban Brewery,IPA - American,6.6,75,"An IPA worth recommending.  It isn't quite as good as Bell's Two Hearted, but one of the best IPAs in Portland.",4.25,Portland,OR
Downtown Brown,Lost Coast Brewery,Brown Ale - English,5,16,,3.25,Eureka,CA
Motherland,Hopworks Urban Brewery,Stout - Russian Imperial,9.8,60,Intense flavors with slight bourbon finish,4.25,Portland,OR
Steam Train Porter,Snoqualmie Falls Brewing Company,Porter - American,5,28,Nice coffee flavor,4.25,Snoqualmie,WA
Lucille,Georgetown Brewing Company,IPA - American,7,85,Huge hoppy flavors,4.25,Seattle,WA
Dragonstooth Stout,Elysian Brewing,Stout - Imperial Oatmeal,7.45,36,Creamy and delicious,4.25,Seattle,WA
Shakedown ,Black Market Brewing Co.,Brown Ale - American,5.5,40,On nitro!  Nice idea for a brown,4,Temecula,CA
Naughty Nellie,The Pike Brewing Company,Golden Ale,4.7,24,,3.25,Seattle,WA
Pike Pale,The Pike Brewing Company,Red Ale - American Amber / Red,5,32,,3.5,Seattle,WA
Scotch Style Ruby Ale,The Pike Brewing Company,Scottish Ale,6.5,27,,3.25,Seattle,WA
XXXXX Pike Stout,The Pike Brewing Company,Stout - American,7,65,,3.75,Seattle,WA
Monk's Uncle,The Pike Brewing Company,Belgian Tripel,9,38,,3,Seattle,WA
IPA (India Pale Ale),The Pike Brewing Company,IPA - American,6.3,60,,3,Seattle,WA
Joe STOUT,Backwoods Brewing Company,Stout - Milk / Sweet,5,20,Tasty milk stout on nitro,4.25,Carson,WA
Shades Black Ale,Wild Ride Brewing,Dark Ale,5.4,35,Tasty session-like stout,4.25,Redmond,OR
Arrogant Bastard Ale (Bourbon Barrel Aged),Arrogant Bastard Brewing,Strong Ale - American,8.1,100,Massive strong ale with big bourbon finish,3.75,Escondido,CA
Winter Warmer,Big Al Brewing,Winter Warmer,7.5,0,Excellent winter ale.  The fig and hops come through nicely.,4.25,Seattle,WA
Anthem Hops Special Edition Fresh Hopped (Unfiltered),Wandering Aengus Ciderworks,Cider,6.2,0,,3.5,Salem,OR
Black & Blue,Julian Hard Cider,Cider,6.99,0,,4.25,Julian,CA
Wayward Black Beer,Holy Mountain Brewing,Dark Ale,4.5,0,,4,Seattle,WA
Hop'Rageous,Portland Cider Company,Cider,6.8,0,Nice hoppy with slight apple flavor,4.25,Clackamas,OR
Cherry Bomb,Julian Hard Cider,Cider,6.99,0,Excellent cherry finish and not too sweet,4.25,Julian,CA
8 Malty Nights,Lompoc Brewing,Porter - American,6.5,0,Excellent flavors and quite possibly the perfect nitro beer,4.5,Portland,OR
Slippery Slope,Cascade Lakes Brewing Company,Winter Warmer,6.4,50,Lacks flavor but it's decent,3,Redmond,OR
Snow Day,New Belgium Brewing Company,Winter Ale,6.2,0,Not too shabby.  Classic New Belgium.,3.5,Fort Collins,CO
Citradelic IPA,New Belgium Brewing Company,IPA - American,6,50,By far New Belgium's best IPA.  The subtle citrus really balances it well.,4.5,Fort Collins,CO
Censored Rich Copper Ale (aka The Kronik),Lagunitas Brewing Company,Red Ale - American Amber / Red,6.75,35,"Pretty good amber.  I have no idea what ""copper"" tastes like, but this tastes exactly like it.",3.5,Petaluma,CA
Brown Shugga',Lagunitas Brewing Company,Strong Ale - American,9.8,51,Definitely funky.  Sweet but also boozy.,4,Petaluma,CA
Dunkel,Occidental Brewing Co.,Lager - Dunkel Munich,5.3,0,Tasty German brew,4,Portland,OR
