beer_name,brewery,style,abv,ibu,comment,rating,brewery_country,brewery_city,brewery_state,date
Chronic Amber Ale,Pizza Port Brewing Co.,Red Ale - American Amber / Red,4.9,0,"Easy drinking amber.  Was expecting more from a marijuana themed beer, but I suppose the skunkiness not being there is good",3.75,United States,Carlsbad,CA,2015-12-07
Pliny the Elder,Russian River Brewing Company,IPA - Imperial / Double,8,100,Possibly the greatest IPA I have ever had.  Wow!,5,United States,Santa Rosa,CA,2015-12-10
Oats Face,Sierra Nevada Brewing Co.,Extra Special / Strong Bitter,7.1,59,Meh.  Not a great ESB.,2.25,United States,Chico,CA,2015-12-10
Stochasticity Project Your Father Smelt of Elderberries,Stone Brewing,Gruit / Ancient Herbed Ale,10.3,50,Way too smoky,2,United States,Escondido,CA,2015-12-10
Jack Rose,Perennial Artisan Ales,Fruit Beer,8,0,Tasty cinnamon flavors,4,United States,St Louis,MO,2015-12-10
Chocolate Hazelnut Porter,Heretic Brewing Company,Porter - Other,7,33,Very smooth and good hazelnut flavor.  A little lacking on chocolate though.,4.25,United States,Fairfield,CA,2015-12-10
Mad Bark,Ciderboys Hard Cider,Cider,5,0,Cinnamony goodness,4.5,United States,Stevens Point,WI,2015-12-11
Dank Hop,Swift Cider,Cider,6.7,0,Tastes like a pineapple sour.  Pretty good,4,United States,Portland,OR,2015-12-11
Chocolate Porter,Block 15 Brewing Company,Porter - Other,5.5,22,Roasty with interesting bitter chocolate notes,4,United States,Corvallis,OR,2015-12-11
Ivan The Terrible,Big Sky Brewing Company,Stout - Russian Imperial,9.5,65,These Russian imperials are still a little much for me,3.5,United States,Missoula,MT,2015-12-11
Sled Wreck Winter Ale,Barley Brown's Beer,Winter Ale,8.5,75,Hoppy for a winter,3.75,United States,Baker City,OR,2015-12-11
Cherry Chocoholic Baltic Porter,Rusty Truck Brewing,Porter - Baltic,7.2,0,A little too bitter for my tastes,3.75,United States,Lincoln City,OR,2015-12-11
The Abyss (2015),Deschutes Brewery,Stout - American Imperial / Double,12.2,70,Definitely a one beer drunk kind of beer.  One of the best imperial stouts out there though.,4.5,United States,Bend,OR,2015-12-18
Rhubarbarian,2 Towns Ciderhouse,Cider,5,0,A little too sweet and lacking rhubarb flavor,3.25,United States,Corvallis,OR,2015-12-19
Das-Schutes Munich IPA,Deschutes Brewery,IPA - American,6.2,52,Nice mix of lager and hoppy flavors,4,United States,Bend,OR,2015-12-19
Hop Henge Experimental IPA (2015),Deschutes Brewery,IPA - Imperial / Double,9.5,95,Ew.  Weird piney taste.,1,United States,Bend,OR,2015-12-19
Sage Fight IPA,Deschutes Brewery,IPA - American,7.3,97,Strange flavors here too.  Expecting sage but it's a weird fake sage.,1,United States,Bend,OR,2015-12-19
Armory XPA,Deschutes Brewery,Pale Ale - American,5.9,58,Subtle pine,3.5,United States,Bend,OR,2015-12-19
The Dissident,Deschutes Brewery,Flanders Oud Bruin,10.5,18,Tasty sour brown ale,4,United States,Bend,OR,2015-12-19
Red Chair NWPA,Deschutes Brewery,Pale Ale - American,6.2,60,NA,3.5,United States,Bend,OR,2015-12-19
Sour Quad,Deschutes Brewery,Sour Ale,12,52,Super boozy but good flavor,4,United States,Bend,OR,2015-12-19
Hard Blackberry Cider,Atlas Cider Company,Cider,6.2,0,"Really sweet, pretty good flavor, but lacks carbonation",3.75,United States,Bend,OR,2015-12-20
Hard Apricot Cider,Atlas Cider Company,Cider,6.2,0,Excellent apricot flavor without being too sweet,4.5,United States,Bend,OR,2015-12-22
Santa's Private Reserve Ale,Rogue Ales & Spirits,Red Ale - American Amber / Red,5.1,74,Solid red,4,United States,Newport,OR,2015-12-23
XS Old Crustacean Barleywine,Rogue Ales & Spirits,Barleywine - American,11.5,110,"Definitely a sipper, but pretty good",4.25,United States,Newport,OR,2015-12-23
Dead Guy Ale,Rogue Ales & Spirits,Maibock/Helles Bock,6.5,40,Really malty but tasty,4,United States,Newport,OR,2015-12-25
Abominable Winter Ale,Hopworks Urban Brewery,Winter Ale,7.3,70,"Great hoppy flavor well-balanced with maltiness and slight spicy undertones.  By far, the best winter ale I have had.",4.25,United States,Portland,OR,2015-12-26
Apple,Portland Cider Company,Cider,5.5,0,Not too sweet with great apple flavor.  Good stuff.,4.5,United States,Clackamas,OR,2015-12-26
¡Tepache!,Reverend Nat's Hard Cider,Cider,3.2,0,Excellent by itself.  Great subtle pineapple near the end.,4.25,United States,Portland,OR,2015-12-27
Ace Perry Cider,Ace Cider (The California Cider Company),Perry,5,0,Too sweet for me,3,United States,Sebastopol,CA,2015-12-27
Inversion IPA,Deschutes Brewery,IPA - American,6.8,80,Hoppy and a little too bitter for me,3.75,United States,Bend,OR,2015-12-27
Stiegl Radler Grapefruit Naturtrüb,Stieglbrauerei zu Salzburg,Radler,2,0,"Tastes almost exactly like Squirt soda, and it makes sense that it should with only 2% ABV.  Good thing I like grapefruit soda.",3.75,Austria,Salzburg,NA,2015-12-27
Survival Stout,Hopworks Urban Brewery,Stout - Other,5.8,35,Tasty coffee stout,4.25,United States,Portland,OR,2015-12-28
Indian Brown Ale,Dogfish Head Craft Brewery,Brown Ale - American,7.2,50,One of my favorites.  Perfect mix of hoppiness and roasty maltiness.,4.5,United States,Milton,DE,2015-12-29
Spaten Optimator,Spaten-Franziskaner-Löwenbräu-Gruppe,Doppelbock,7.6,0,Excellent malty German flavor,4.25,Germany,München,NA,2015-12-29
Super Snow Cap,Pyramid Breweries,Strong Ale - American,8.7,35,Solid,4,United States,Seattle,WA,2015-12-30
Merry Christmas & Happy New Year (Our Special Ale) (2015),Anchor Brewing Company,Winter Warmer,5.5,0,"Strong, strange sour bitter flavor",2,United States,San Francisco,CA,2015-12-31
Ace Berry Cider,Ace Cider (The California Cider Company),Cider,5,0,Tasty,4,United States,Sebastopol,CA,2015-12-31
Dubhe Imperial Black IPA,Uinta Brewing Company,IPA - Imperial / Double Black,9.2,109,"Good, but really bitter.  109 IBUs!",4,United States,Salt Lake City,UT,2015-12-31
Amber,Abita Brewing Company,Lager - American Amber / Red,4.5,17,Easily drinkable but nothing special,3,United States,Abita Springs,LA,2016-01-01
Dry Raspberry Hard Cider,Wyder's Cider,Cider,4,0,Tasty and not too sweet,4,United States,Middlebury,VT,2016-01-01
Hopworks IPA,Hopworks Urban Brewery,IPA - American,6.6,75,"An IPA worth recommending.  It isn't quite as good as Bell's Two Hearted, but one of the best IPAs in Portland.",4.25,United States,Portland,OR,2016-01-02
Downtown Brown,Lost Coast Brewery,Brown Ale - English,5,16,NA,3.25,United States,Eureka,CA,2016-01-03
Motherland,Hopworks Urban Brewery,Stout - Russian Imperial,9.8,60,Intense flavors with slight bourbon finish,4.25,United States,Portland,OR,2016-01-04
Steam Train Porter,Snoqualmie Falls Brewing Company,Porter - American,5,28,Nice coffee flavor,4.25,United States,Snoqualmie,WA,2016-01-05
Lucille,Georgetown Brewing Company,IPA - American,7,85,Huge hoppy flavors,4.25,United States,Seattle,WA,2016-01-05
Dragonstooth Stout,Elysian Brewing,Stout - Imperial Oatmeal,7.45,36,Creamy and delicious,4.25,United States,Seattle,WA,2016-01-05
Shakedown,Black Market Brewing Co.,Brown Ale - American,5.5,40,On nitro!  Nice idea for a brown,4,United States,Temecula,CA,2016-01-05
Naughty Nellie,The Pike Brewing Company,Golden Ale,5.5,24,NA,3.25,United States,Seattle,WA,2016-01-06
Pike Pale,The Pike Brewing Company,Red Ale - American Amber / Red,5,32,NA,3.5,United States,Seattle,WA,2016-01-06
Scotch Style Ruby Ale,The Pike Brewing Company,Scottish Ale,6.5,27,NA,3.25,United States,Seattle,WA,2016-01-06
XXXXX Pike Stout,The Pike Brewing Company,Stout - American,7,65,NA,3.75,United States,Seattle,WA,2016-01-06
Monk's Uncle,The Pike Brewing Company,Belgian Tripel,9,38,NA,3,United States,Seattle,WA,2016-01-06
IPA (India Pale Ale),The Pike Brewing Company,IPA - American,6.3,60,NA,3,United States,Seattle,WA,2016-01-06
Joe STOUT,Backwoods Brewing Company,Stout - Milk / Sweet,5,20,Tasty milk stout on nitro,4.25,United States,Carson,WA,2016-01-07
Shades Black Ale,Wild Ride Brewing,Dark Ale,5.4,35,Tasty session-like stout,4.25,United States,Redmond,OR,2016-01-07
Arrogant Bastard Ale (Bourbon Barrel Aged),Arrogant Brewing,Strong Ale - American,8.1,100,Massive strong ale with big bourbon finish,3.75,United States,Escondido,CA,2016-01-07
Winter Warmer,Big Al Brewing,Winter Warmer,7.5,0,Excellent winter ale.  The fig and hops come through nicely.,4.25,United States,Seattle,WA,2016-01-07
Anthem Hops Special Edition Fresh Hopped (Unfiltered),Wandering Aengus Ciderworks,Cider,6.2,0,NA,3.5,United States,Salem,OR,2016-01-08
Black & Blue,Julian Hard Cider,Cider,6.99,0,NA,4.25,United States,Julian,CA,2016-01-08
Wayward Black Beer,Holy Mountain Brewing,Dark Ale,4.5,0,NA,4,United States,Seattle,WA,2016-01-08
Hop'Rageous,Portland Cider Company,Cider,6.8,0,Nice hoppy with slight apple flavor,4.25,United States,Clackamas,OR,2016-01-10
Cherry Bomb,Julian Hard Cider,Cider,6.99,0,Excellent cherry finish and not too sweet,4.25,United States,Julian,CA,2016-01-11
8 Malty Nights,Lompoc Brewing,Porter - American,6.5,0,Excellent flavors and quite possibly the perfect nitro beer,4.5,United States,Portland,OR,2016-01-12
Slippery Slope,Cascade Lakes Brewing Company,Winter Warmer,6.4,50,Lacks flavor but it's decent,3,United States,Redmond,OR,2016-01-12
Snow Day,New Belgium Brewing Company,Winter Ale,6.2,0,Not too shabby.  Classic New Belgium.,3.5,United States,Fort Collins,CO,2016-01-13
Citradelic IPA,New Belgium Brewing Company,IPA - American,6,50,By far New Belgium's best IPA.  The subtle citrus really balances it well.,4.5,United States,Fort Collins,CO,2016-01-13
Censored Rich Copper Ale (aka The Kronik),Lagunitas Brewing Company,Red Ale - American Amber / Red,6.75,35,"Pretty good amber.  I have no idea what ""copper"" tastes like, but this tastes exactly like it.",3.5,United States,Petaluma,CA,2016-01-13
Brown Shugga',Lagunitas Brewing Company,Strong Ale - American,9.8,51,Definitely funky.  Sweet but also boozy.,4,United States,Petaluma,CA,2016-01-14
Dunkel,Occidental Brewing Co.,Lager - Dunkel Munich,5.3,0,Tasty German brew,4,United States,Portland,OR,2016-01-15
Brown,Full Sail Brewing Company,Brown Ale - American,6,0,Solid nut brown ale,4,United States,Hood River,OR,2016-01-15
Tsunami Stout,Pelican Brewing Company,Stout - Foreign / Export,7,45,Creamy and delicious on nitro,4.5,United States,Pacific City,OR,2016-01-16
Diablo Rojo,Boneyard Beer Company,Red Ale - American Amber / Red,5.5,30,Good balance of malt and hops,4,United States,Bend,OR,2016-01-16
Sleigh'r Dark Doüble Alt Ale,Ninkasi Brewing Company,Winter Ale,7.2,50,Caramelly with nice hops flavor,4.25,United States,Eugene,OR,2016-01-16
Dry Pear Hard Cider,Wyder's Cider,Cider,4,0,NA,4,United States,Middlebury,VT,2016-01-16
Baked Apple,D's Wicked Cider,Cider,8.5,0,Tastes like boozy apple pie and that's mighty tasty,4.25,United States,Kennewick,WA,2016-01-18
Porter,Kennebunkport Brewing Co.,Porter - American,5.6,0,Not too shabby,3.75,United States,Kennebunk,ME,2016-01-19
Salted Caramel Stout,Breakside Brewery,Stout - Milk / Sweet,6.7,28,Wowsa.  That's a mighty fine stout.  Sweet caramel blast of flavor and subtle undertones make this delicious.,4.5,United States,Portland,OR,2016-01-20
Newton's Folly Granny Smith Draft Cider,American Hard Cider Company,Cider,5,0,Lacks flavor,2,United States,Middlebury,VT,2016-01-21
Newton's Folly Authentic Draft Cider,American Hard Cider Company,Cider,5,0,Meh.  Nothing special.,2.5,United States,Middlebury,VT,2016-01-21
Beer Camp Tropical IPA (2016),Sierra Nevada Brewing Co.,IPA - American,6.7,55,Big hoppy flavor with tropical fruit notes,4.25,United States,Chico,CA,2016-01-21
Jumping Cow Amber Ale,Steinhaus Brewing Company,Red Ale - American Amber / Red,5.4,0,NA,3,United States,Paso Robles,CA,2016-01-22
Apricot Cream Ale,Vertigo Brewing,Cream Ale,4.6,0,Great taste pairing the apricot with a cream style.  Very nice.,4.5,United States,Hillsboro,OR,2016-01-23
Smokestack Red,Vertigo Brewing,Red Ale - American Amber / Red,5.7,32,Very nice and creamy,4.25,United States,Hillsboro,OR,2016-01-23
Friar Mike's IPA,Vertigo Brewing,IPA - American,6.1,61,Good but not as smooth as the top notch,3.5,United States,Hillsboro,OR,2016-01-23
Friar Gone Wild,Vertigo Brewing,IPA - Imperial / Double,9,100,NA,4.25,United States,Hillsboro,OR,2016-01-23
Arctic Blast Vanilla Porter,Vertigo Brewing,Porter - American,5.8,0,Excellent on nitro.  A little nutty,4.5,United States,Hillsboro,OR,2016-01-23
Rum Barrel Aged Coconut Porter,Vertigo Brewing,Porter - American,9.1,38,Tasty.  I like the rum barrel aging better than bourbon barrels.,4.5,United States,Hillsboro,OR,2016-01-23
Side Trip,New Belgium Brewing Company,Pale Ale - Belgian,6,22,Pretty good for a Belgian pale.  Not too overwhelmingly Belgian.,3.75,United States,Fort Collins,CO,2016-01-24
JK'S Scrumpy Orchard Gate Gold Organic Hard Cider (Farmhouse),J.K.'S Farmhouse Ciders,Cider,6,0,Tasty.  Like apple juice more than any other cider I have had but boozy too,4.25,United States,Flushing,MI,2016-01-27
Celebration Ale (2013),Sierra Nevada Brewing Co.,IPA - American,6.8,65,NA,4,United States,Chico,CA,2016-01-29
La Tormenta,Breakside Brewery,Sour Ale,7,22,Excellent non-traditional sour with hoppy flavors,4,United States,Portland,OR,2016-01-30
Green Apple,D's Wicked Cider,Cider,8.5,0,"Big time ABV, nice apple flavor.  This is solid.",4.25,United States,Kennewick,WA,2016-01-31
Hard Pom-Cherry Cider,Atlas Cider Company,Cider,5.8,0,Not too sweet with good flavor,4.25,United States,Bend,OR,2016-02-01
Vanilla Oatis Stout,Ninkasi Brewing Company,Stout - Oatmeal,7,50,NA,3.75,United States,Eugene,OR,2016-02-01
S1NIST0R Black Ale,10 Barrel Brewing Co.,Schwarzbier,5.7,28,Tasty dark ale,4.25,United States,Bend,OR,2016-02-02
Spire Mountain Sparkling Pear,Fish Brewing Company,Cider,5,0,A little too sweet.  Not much pear flavor either.,3,United States,Olympia,WA,2016-02-02
Original Alcoholic Ginger Beer,John Crabbie & Co,Ginger Beer,4.8,0,"Strong, spicy ginger taste",4,Scotland,Glasgow,"City of Glasgow, G3 7QF",2016-02-06
Shake Chocolate Porter,Boulder Beer Company,Porter - American,5.9,39,Chocolatey deliciousness,4.25,United States,Boulder,CO,2016-02-07
Jubelale,Deschutes Brewery,Winter Ale,6.7,65,NA,3.5,United States,Bend,OR,2016-02-07
Sweaty Betty,Boulder Beer Company,Hefeweizen,5.2,15,Meh.  Not a big fan of hefes.,2.5,United States,Boulder,CO,2016-02-07
Dick's Cream Stout,Dick's Brewing Company,Stout - Milk / Sweet,5.5,20,"Decent flavor, but lacks carbonation",3.75,United States,Centralia,WA,2016-02-08
Fa La La La La,Double Mountain Brewery & Taproom,Winter Ale,7.6,85,Big time hoppiness but good wintery malt too,4.25,United States,Hood River,OR,2016-02-10
The Terry Porter,Gilgamesh Brewing,Porter - American,6.3,25,Solid porter with a great name and an even better cause.  $2 from every bottle is donated to helping a children's hospital.,4.25,United States,Salem,OR,2016-02-11
Cranberry Cider,Tieton Cider Works,Cider,6.9,0,Yum!  This is an almost perfectly flavored cranberry cider.,4.75,United States,Yakima,WA,2016-02-12
Oatmeal Pale Ale,Burnside Brewing Co. (Oregon),Pale Ale - American,5.6,44,Oatmeal adds nice smooth taste,4,United States,Portland,OR,2016-02-12
Oatmeal Stout,Glacier Brewhouse,Stout - Oatmeal,5.61,21,Very smooth,4.5,United States,Anchorage,AK,2016-02-13
Black Rye Bock,Glacier Brewhouse,Lager - Black,7.07,20,"Tasty, caramelly bock",4.25,United States,Anchorage,AK,2016-02-13
2013 Oak Aged Eisbock,Glacier Brewhouse,Eisbock,10,0,My first eisbock.  Caramelly and vanilla highlights.,4.25,United States,Anchorage,AK,2016-02-13
Makers Mark Stout,Glacier Brewhouse,Stout - Other,5.61,0,Good barrel aged stout.  Not too much whiskey flavor.,4,United States,Anchorage,AK,2016-02-13
Russian Imperial Stout (Buffalo Trace Barrels),Glacier Brewhouse,Stout - Russian Imperial,9.25,60,NA,4,United States,Anchorage,AK,2016-02-13
Fairweather IPA,Broken Tooth Brewing,IPA - American,6.4,64,Solid,4,United States,Anchorage,AK,2016-02-13
Blonde Style Ale,Kenai River Brewing Company,Blonde Ale,5,0,NA,3,United States,Soldotna,AK,2016-02-14
Oosik Amber Ale,Midnight Sun Brewing Co.,Altbier,5,11,NA,3.5,United States,Anchorage,AK,2016-02-14
Oatmeal Stout,Orso,Stout - Oatmeal,5.61,0,Yum.  Very smooth and creamy.,4.75,United States,Anchorage,AK,2016-02-14
Nut Brown,Glacier Brewhouse,Brown Ale - American,5.92,0,"Nice, sweet nutty flavor",4.25,United States,Anchorage,AK,2016-02-15
India Pale Ale,Glacier Brewhouse,IPA - American,6.35,0,Great hoppy flavor and nice and smooth,4.25,United States,Anchorage,AK,2016-02-15
Cask Conditioned IPA,Glacier Brewhouse,IPA - American,6.35,60,First IPA from a cask.  Interesting,4.25,United States,Anchorage,AK,2016-02-15
Double IPA,Glacier Brewhouse,IPA - Imperial / Double,7.95,100,Subtle strange flavor here.  Not sure what it is.,3.5,United States,Anchorage,AK,2016-02-15
Citrus IPA,Glacier Brewhouse,IPA - American,7.2,0,"Good, but not as good as Citradelic from New Belgium.  A little too lemony",3.75,United States,Anchorage,AK,2016-02-15
BarFly,Midnight Sun Brewing Co.,Smoked Beer,11.6,45,Yum.  The oak barrels add great flavor.,4.25,United States,Anchorage,AK,2016-02-15
XXX Black Double IPA,Midnight Sun Brewing Co.,IPA - Imperial / Double Black,8.5,87,A little too grainy for me,3.75,United States,Anchorage,AK,2016-02-15
Berserker Imperial Stout,Midnight Sun Brewing Co.,Stout - American Imperial / Double,12.7,30,Huge maple imperial stout,4.25,United States,Anchorage,AK,2016-02-15
Termination Dust,Midnight Sun Brewing Co.,Barleywine - English,13,70,Wow.  That's a good barley wine.  Sweet and almost more like a stout with all the booze.,4.25,United States,Anchorage,AK,2016-02-15
Modern Romance,Midnight Sun Brewing Co.,Strong Ale - American,9.3,37,Interesting spicy chocolate.  Pretty intense,4,United States,Anchorage,AK,2016-02-15
Hard Apple Ale,Broken Tooth Brewing,Fruit Beer,5.2,0,All the great qualities of cider and beer brought together,4.25,United States,Anchorage,AK,2016-02-16
Midtown Brown,Broken Tooth Brewing,Brown Ale - American,5.1,0,NA,3.5,United States,Anchorage,AK,2016-02-16
Prince William's Porter,Broken Tooth Brewing,Porter - American,5.5,25,By far one of most roasty porters I've had,4,United States,Anchorage,AK,2016-02-16
Pipeline Stout,Broken Tooth Brewing,Stout - American,6.3,30,NA,4,United States,Anchorage,AK,2016-02-16
Darth Delirium (2016),Broken Tooth Brewing,Belgian Strong Dark Ale,10.5,40,Huge flavor and mighty tasty,4.25,United States,Anchorage,AK,2016-02-16
YellowEye P.A. (Tropical IPA),Broken Tooth Brewing,IPA - American,7.5,74,"Yum.  The description is spot on:  Clean and big with tropical hop notes of apricot, mango, passion fruit, and peach.  Hawaii in Alaska.",4.5,United States,Anchorage,AK,2016-02-16
Sam Tooth Chocolate Stout,Broken Tooth Brewing,Stout - Milk / Sweet,5.2,40,Not quite the chocolate flavor I was hoping for,3.25,United States,Anchorage,AK,2016-02-16
Winter Ale,Alaskan Brewing Co.,Old Ale,6.4,22,Caramelly,4,United States,Juneau,AK,2016-02-16
40 Below Stout,Silver Gulch Brewing Company,Stout - Russian Imperial,8.5,77,Nice and smooth Russian imperial,4.25,United States,Fox,AK,2016-02-17
Hop Cooler,Ninkasi Brewing Company,IPA - American,7.2,74,Tasty,4.25,United States,Eugene,OR,2016-02-18
Slacker,No-Li Brewhouse,Herbed / Spiced Beer,6.1,20,Pretty good.  Doesn't have quite the citrus or vanilla flavor I was hoping for.,3.75,United States,Spokane,WA,2016-02-21
Porter,Sierra Nevada Brewing Co.,Porter - American,5.6,32,Not too shabby,4,United States,Chico,CA,2016-02-22
Amber,Alaskan Brewing Co.,Altbier,5.3,18,Ol' reliable,4.25,United States,Juneau,AK,2016-02-22
Hop Turn IPA,Alaskan Brewing Co.,IPA - American,7.5,45,"Not bad, but not really good either",3.25,United States,Juneau,AK,2016-02-23
Otra Vez,Sierra Nevada Brewing Co.,Gose,4.5,5,Goses are interesting.  This would be good on a warm day.,3.75,United States,Chico,CA,2016-02-24
Dundee Porter,Golden Valley Brewery and Pub,Porter - Other,5.4,0,Not too shabby,4.25,United States,McMinnville,OR,2016-02-25
