beer_name,brewery,style,abv,ibu,comment,rating,date,brewery_country,brewery_city,brewery_state
Nut Brown Ale,Goose Island Beer Co.,Brown Ale - English,5.2,25,Tasty nut brown in a bottle.,4,2015-02-17,United States,Chicago,IL
Horicon Session IPA,Central Waters Brewing Company,IPA - Session / India Session Ale,4.5,30,Good low ABV IPA style.,4.5,2015-02-17,United States,Amherst,WI
Oatmeal Stout,Gray's Brewing Company (WI),Stout - Oatmeal,5.2,25,Solid oatmeal stout.  Smooth and good flavor.,4.5,2015-02-18,United States,Janesville,WI
Abbey,New Belgium Brewing Company,Belgian Dubbel,7,20,"Good Belgian beer, but I don't like Belgians as much as I used to.",3.5,2015-02-18,United States,Fort Collins,CO
Limited Asylum: India Brown Ale,Ale Asylum,Brown Ale - American,7,0,Delicious!  Perfect balance of hoppiness and distinct brown ale flavor.,5,2015-02-19,United States,Madison,WI
2å¡ Below Winter Ale,New Belgium Brewing Company,Winter Ale,6.6,0,"Good malty, roasty winter ale",3.5,2015-02-19,United States,Fort Collins,CO
Two Hearted Ale,Bell's Brewery,IPA - American,7,55,Maybe the best beer ever produced!,5,2015-02-20,United States,Galesburg,MI
Cappuccino Stout,Lagunitas Brewing Company,Stout - American Imperial / Double,9,30,Great coffee flavor,4.5,2015-02-20,United States,Petaluma,CA
Grapefruit Harvest IPA,Abita Brewing Company,IPA - American,6,40,Super grapefruity but tasty,4,2015-02-20,United States,Abita Springs,LA
Big Butt Doppelbock,Jacob Leinenkugel Brewing Company,Doppelbock,5.8,14,Pretty decent dopplebock,3.5,2015-02-22,United States,Chippewa Falls,WI
Ranger,New Belgium Brewing Company,IPA - American,6.5,70,A little bitter compared to the really good IPAs out there.,3,2015-02-24,United States,Fort Collins,CO
Rampant,New Belgium Brewing Company,IPA - Imperial / Double,8.5,85,"Decent, but nothing stellar",3.5,2015-02-25,United States,Fort Collins,CO
Honker's Ale,Goose Island Beer Co.,Extra Special / Strong Bitter,4.3,30,Lacking flavor compared to other good ales,3,2015-02-25,United States,Chicago,IL
Dundee Honey Brown Lager,Dundee Ales & Lagers,Lager - American Amber / Red,4.5,10,Pretty bland,2.5,2015-02-27,United States,Rochester,NY
Mudpuppy Porter,Central Waters Brewing Company,Porter - American,5.5,0,"Solid Porter, especially on nitro",4.5,2015-03-01,United States,Amherst,WI
Glacial Trail IPA,Central Waters Brewing Company,IPA - American,6.5,65,Nothing special but pretty good,3.5,2015-03-01,United States,Amherst,WI
Illumination Double IPA,Central Waters Brewing Company,IPA - Imperial / Double,9,108,Tasty Double IPA,4,2015-03-01,United States,Amherst,WI
Brewhouse Coffee Stout,Central Waters Brewing Company,Stout - American,8.2,0,Excellent!,5,2015-03-01,United States,Amherst,WI
Fat Tire,New Belgium Brewing Company,Red Ale - American Amber / Red,5.2,22,NA,3.5,2015-03-01,United States,Fort Collins,CO
Ouisconsing Red Ale,Central Waters Brewing Company,Red Ale - American Amber / Red,5.2,0,Nothing spectacular but decent red,3,2015-03-01,United States,Amherst,WI
Mojo IPA,Boulder Beer Company,IPA - American,7.2,70,A little bitter but not too shabby,3.5,2015-03-02,United States,Boulder,CO
Fixed Gear,Lakefront Brewery,Red Ale - American Amber / Red,6.8,33,Good red + hoppy ale,4,2015-03-04,United States,Milwaukee,WI
Creamy Dark,Jacob Leinenkugel Brewing Company,Lager - Black,4.9,20,Nothing special but it's pretty good,3.5,2015-03-06,United States,Chippewa Falls,WI
Spiced Orange,John Crabbie & Co,Ginger Beer,4.8,0,Pretty tasty,4,2015-03-07,Scotland,Glasgow,"City of Glasgow, G3 7QF"
K-Town Brown,Public Craft Brewing Co.,Brown Ale - American,4.8,21,Pretty good brown,4,2015-03-18,United States,Kenosha,WI
Permanent Funeral,3 Floyds Brewing Company,IPA - Imperial / Double,10.5,100,NA,4.5,2015-03-21,United States,Munster,IN
Bourbon County Brand Stout,Goose Island Beer Co.,Stout - American Imperial / Double,15,60,NA,4.5,2015-03-23,United States,Chicago,IL
Fresh Squeezed IPA,Deschutes Brewery,IPA - American,6.4,60,Beer-fection!  My favorite beer on the planet.,5,2015-03-26,United States,Bend,OR
Road Slush,New Glarus Brewing Company,Stout - Oatmeal,6.2,0,NA,4,2015-03-26,United States,New Glarus,WI
Lilja's Hell Hound Brown Ale,Pangaea Beer Company,Brown Ale - American,7,91,Decent,3.5,2015-03-27,United States,Wisconsin Rapids,WI
Satin Solitude Imperial Stout,Central Waters Brewing Company,Stout - American Imperial / Double,8.5,0,NA,4,2015-03-27,United States,Amherst,WI
Moose Drool Brown Ale,Big Sky Brewing Company,Brown Ale - American,5.1,0,NA,4.5,2015-03-27,United States,Missoula,MT
Grapefruit Sculpin,Ballast Point Brewing & Spirits,IPA - American,7,70,Yum!,4.5,2015-03-29,United States,San Diego,CA
Curmudgeon Old Ale (2014),Founders Brewing Co.,Old Ale,9.8,50,Funky,3,2015-03-29,United States,Grand Rapids,MI
2X Stout (Double Milk Stout),Southern Tier Brewing Company,Stout - Milk / Sweet,7.5,40,Decent,3,2015-03-29,United States,Lakewood,NY
Night Time Ale,Lagunitas Brewing Company,IPA - Black / Cascadian Dark Ale,8.2,65,Tasty IBA!,4,2015-03-30,United States,Petaluma,CA
Polygamy Nitro Porter,Wasatch Brewery,Porter - American,6,0,I think the non-nitro is a little better.,3.5,2015-03-30,United States,Park City,UT
KCCO Black Lager,Resignation Brewery,Lager - Black,5.1,22,NA,3.5,2015-03-31,United States,Austin,TX
Mudpuppy Porter,Central Waters Brewing Company,Porter - American,5.5,0,Yum!  Grand opening of a new Fat Bruce's!,4.5,2015-04-03,United States,Amherst,WI
Hop Henge Experimental IPA (2014),Deschutes Brewery,IPA - Imperial / Double,9.3,99,Yum!,5,2015-04-04,United States,Bend,OR
Cocoa Mole (Lips of Faith),New Belgium Brewing Company,Chili Beer,9,20,Meh.  Way too much cinnamon.  A little too overpowering.,2.5,2015-04-04,United States,Fort Collins,CO
ÅÈywiec,Grupa ÅÈywiec,Lager - Pale,5.6,0,Meh.  Pilsner.  Meh.,2,2015-04-04,Poland,ÅÈywiec,Å_l€Éskie
Longboard Island Lager,Kona Brewing Company,Lager - Pale,4.6,20,Pretty good for a lager,3.5,2015-04-08,United States,Kailua-Kona,HI
Lilja's Sasquatch Stout,Pangaea Beer Company,Stout - American,7,0,NA,4,2015-04-10,United States,Wisconsin Rapids,WI
Big Mountain Pale Ale,Alaskan Brewing Co.,Pale Ale - American,5.7,45,Hoppy and tasty,4,2015-04-13,United States,Juneau,AK
Not Your Father's Root Beer (5.9%),Small Town Brewery,Root Beer,5.9,0,Refreshing and pretty tasty,4,2015-04-15,United States,Wauconda,IL
Bigfoot (2014),Sierra Nevada Brewing Co.,Barleywine - American,9.6,90,My first barleywine style.  Not the shock I expected.  Pretty good.,3.5,2015-04-15,United States,Chico,CA
Really Cool Waterslides IPA,3 Sheeps Brewing Company,IPA - American,6.2,60,NA,3.5,2015-04-16,United States,Sheboygan,WI
Hopster,New Glarus Brewing Company,Hefeweizen,5.95,0,Decent for a wheat beer,3.5,2015-04-20,United States,New Glarus,WI
Sculpin IPA,Ballast Point Brewing & Spirits,IPA - American,7,70,Excellent IPA,4.5,2015-04-21,United States,San Diego,CA
Hopslam Ale,Bell's Brewery,IPA - Imperial / Double,10,70,"Smooth, hoppy, and delicious",4.5,2015-04-22,United States,Galesburg,MI
Enigma (Thumbprint) (2015),New Glarus Brewing Company,Sour Ale,5.5,0,Meh.  Not a very good sour.,2,2015-04-23,United States,New Glarus,WI
Red Chair NWPA,Deschutes Brewery,Pale Ale - American,6.2,60,Pretty good pale ale but nothing special.,3,2015-04-26,United States,Bend,OR
Hog Heaven Barleywine,Avery Brewing Co.,Barleywine - American,9.2,104,Good barleywine.  Dry-hopped and pretty tasty.,3.75,2015-04-28,United States,Boulder,CO
IPL,Jacob Leinenkugel Brewing Company,Lager - IPL (India Pale Lager),6,57,NA,3.75,2015-04-30,United States,Chippewa Falls,WI
Black Jack Porter,Left Hand Brewing Company,Porter - English,6.8,35,Yum,4,2015-04-30,United States,Longmont,CO
Grateful Red,"Capital Brewery Co., Inc.",IPA - American,5.3,65,NA,3.5,2015-04-30,United States,Middleton,WI
16-Bit Double Pale Ale,Tallgrass Brewing Company,Pale Ale - American,6.2,55,NA,4,2015-04-30,United States,Manhattan,KS
Illusive Traveler Grapefruit Shandy,Traveler Beer Co.,Radler,4.4,7,Very grapefruity but pretty refreshing,4.25,2015-04-30,United States,Burlington,VT
Black Butte Porter,Deschutes Brewery,Porter - American,5.2,30,Yum!  One of my favorites,4.75,2015-05-01,United States,Bend,OR
Chainbreaker White IPA,Deschutes Brewery,IPA - White,5.6,55,A little too wheaty,2.75,2015-05-02,United States,Bend,OR
Obsidian Stout,Deschutes Brewery,Stout - American,6.4,55,Tasty stout,4.25,2015-05-03,United States,Bend,OR
Green 19 IPA,Titletown Brewing Company,IPA - American,6.5,55,Missing a little citrus,3.5,2015-05-16,United States,Green Bay,WI
Dark Helmet Schwartzbier,Titletown Brewing Company,Schwarzbier,5.5,25,Good dark beer,4,2015-05-16,United States,Green Bay,WI
Busted Nut,Titletown Brewing Company,Blonde Ale - Belgian Blonde / Golden,8.5,0,NA,3,2015-05-16,United States,Green Bay,WI
Mutiny IPA,"Capital Brewery Co., Inc.",IPA - American,6.2,70,Not very smooth with too much bitter kick,2.75,2015-05-16,United States,Middleton,WI
Samuel Adams Summer Ale,Boston Beer Company (Samuel Adams),Pale Wheat Ale - American,5.3,7,NA,3,2015-05-21,United States,Boston,MA
Pale Ale,Sierra Nevada Brewing Co.,Pale Ale - American,5.6,38,NA,3.5,2015-05-21,United States,Chico,CA
Spotted Cow,New Glarus Brewing Company,Saison / Farmhouse Ale,5.1,0,"Meh.  When this is the best beer at a place, you have to know the food probably won't be good either.  Mediocre beer...",2.75,2015-05-22,United States,New Glarus,WI
IPA,Lagunitas Brewing Company,IPA - American,6.2,46,Solid,4.25,2015-05-26,United States,Petaluma,CA
Hop Hunter IPA,Sierra Nevada Brewing Co.,IPA - American,6.2,60,"Really, really hoppy.  Pretty good, but a little bitter.",3.75,2015-05-26,United States,Chico,CA
Torpedo Extra IPA,Sierra Nevada Brewing Co.,IPA - American,7.2,65,"A little bitter, but pretty good",4,2015-05-28,United States,Chico,CA
Turbodog,Abita Brewing Company,Brown Ale - English,5.6,28,Carmelly and dark tastiness,4.25,2015-05-28,United States,Abita Springs,LA
Ace Pumpkin Cider,Ace Cider (The California Cider Company),Cider,5,0,NA,3.5,2015-05-28,United States,Sebastopol,CA
Public Access IPA,Public Craft Brewing Co.,IPA - Session / India Session Ale,4.8,37,Not too shabby,4,2015-05-31,United States,Kenosha,WI
Sweet Colleen's Irish Red,Public Craft Brewing Co.,Red Ale - Irish,5.3,17,Caramel tasty,4,2015-05-31,United States,Kenosha,WI
Public Access Session IPA,Public Craft Brewing Co.,IPA - Session / India Session Ale,4.7,0,Almost flavorless,1.5,2015-05-31,United States,Kenosha,WI
Openbaar Saison Farmhouse Ale,Public Craft Brewing Co.,Saison / Farmhouse Ale,5.1,21,Meh. Not a fan of this style.,2,2015-05-31,United States,Kenosha,WI
Public Pale Ale,Public Craft Brewing Co.,Pale Ale - American,5,32,Tastes a lot like Mirror Pond Ale,3,2015-05-31,United States,Kenosha,WI
Perception Porter,Public Craft Brewing Co.,Porter - Other,4.5,20,Pretty solid porter,3.75,2015-05-31,United States,Kenosha,WI
pseudoSue,Toppling Goliath Brewing,Pale Ale - American,5.8,50,Stellar!,4.5,2015-06-05,United States,Decorah,IA
Golden Nugget IPA,Toppling Goliath Brewing,IPA - American,6.3,56,Solid IPA,4,2015-06-05,United States,Decorah,IA
Smoove Opferator,Toppling Goliath Brewing,Brown Ale - American,5.5,50,Really strong brown flavor,4,2015-06-05,United States,Decorah,IA
Rover Truck,Toppling Goliath Brewing,Stout - Oatmeal,5.7,35,Wow!  Delicious and smooth,4.5,2015-06-05,United States,Decorah,IA
Furious,Surly Brewing Company,IPA - American,6.6,100,NA,4.25,2015-06-06,United States,Minneapolis,MN
Double M.A.C.,Widmer Brothers Brewing,IPA - Session / India Session Ale,4.8,50,NA,4,2015-06-20,United States,Portland,OR
Buoy 8 Strong,Astoria Brewing Co.,Strong Ale - English,7.2,0,NA,3.75,2015-06-22,United States,Astoria,OR
Brutal India Pale Ale,Rogue Ales & Spirits,IPA - American,6,46,Very smooth,4.5,2015-06-22,United States,Newport,OR
Hazelnut Brown Nectar,Rogue Ales & Spirits,Brown Ale - American,5.6,33,Near perfection!,4.75,2015-06-24,United States,Newport,OR
Bengali Tiger,Sixpoint Brewery,IPA - American,6.4,62,NA,4,2015-06-24,United States,Brooklyn,NY
Castaway IPA,Kona Brewing Company,IPA - American,6,65,NA,3.75,2015-06-26,United States,Kailua-Kona,HI
North Coast Red Pacific Ale,Seaside Brewing Company,Red Ale - American Amber / Red,6.98,59,NA,3.5,2015-06-29,United States,Seaside,OR
Stormcrow Stout,Seaside Brewing Company,Stout - Other,6.6,38,NA,3.25,2015-06-29,United States,Seaside,OR
Fire Rock Pale Ale,Kona Brewing Company,Pale Ale - American,6,35,Caramelly and tasty,4,2015-06-30,United States,Kailua-Kona,HI
Blood Orange Rustler IPA,Payette Brewing Co.,IPA - American,6.2,65,Starts with a slight orange flavor and ends with a lot of bitter hops,3.5,2015-07-01,United States,Garden City,ID
La Chouffe,Brasserie d'Achouffe,Blonde Ale - Belgian Blonde / Golden,8,20,NA,3.75,2015-07-01,Belgium,Achouffe,Luxembourg
Brown Porter,Waltz Brewing,Porter - Other,0,0,Yum!,4.5,2015-07-02,United States,Forest Grove,OR
Little Bitter,Waltz Brewing,IPA - Session / India Session Ale,3.5,30,"A little too mild, but not bad for 3.5% ABV.",3.25,2015-07-02,United States,Forest Grove,OR
Blueberry Berliner Weisse,Snipes Mountain Brewing,Fruit Beer,4,5,Not quite as much flavor as I would have liked.  Sour but the flavor just isn't there.,3,2015-07-02,United States,Sunnyside,WA
Weihenstephaner Original,Bayerische Staatsbrauerei Weihenstephan,Lager - Helles,5.1,21,Not bad for a lager,3.5,2015-07-04,Germany,Freising,Bayern
442 Nice Lady Ale,Lompoc Brewing,Pale Ale - American,4.8,0,Solid,4,2015-07-04,United States,Portland,OR
Fish Tale Vicious Circle,Fish Brewing Company,Red Ale - American Amber / Red,5,35,NA,3.5,2015-07-05,United States,Olympia,WA
Blackcat Porter,Mac & Jack's Brewing Company,Porter - American,4.8,0,NA,4,2015-07-05,United States,Redmond,WA
African Amber,Mac & Jack's Brewing Company,Red Ale - American Amber / Red,5.6,0,NA,3.5,2015-07-05,United States,Redmond,WA
Pinedrops IPA,Deschutes Brewery,IPA - American,6.5,70,Piney and tasty,4.25,2015-07-06,United States,Bend,OR
Citrus Mistress IPA,Hop Valley Brewing Company,IPA - American,6.5,80,Love the grapefruit flavors of this one,4.5,2015-07-07,United States,Eugene,OR
The Immortal IPA,Elysian Brewing,IPA - English,6.3,54,NA,3.75,2015-07-08,United States,Seattle,WA
Boont Amber Ale,Anderson Valley Brewing Company,Red Ale - American Amber / Red,5.8,15,"Nice summer beer.  Lacking a little in flavor, but mild and pretty good.",3.75,2015-07-09,United States,Boonville,CA
Easy Black IPA,10 Barrel Brewing Co.,IPA - Black / Cascadian Dark Ale,5.1,65,Session IBA!  Awesome for summer!,4,2015-07-10,United States,Bend,OR
Schonz Red Session Ale,Pyramid Breweries,Red Ale - American Amber / Red,4.8,30,NA,3.25,2015-07-11,United States,Seattle,WA
Black Butte Porter,Deschutes Brewery,Porter - American,5.2,30,Still one of my favorites!,4.75,2015-07-11,United States,Bend,OR
Outburst Imperial IPA,Pyramid Breweries,IPA - Imperial / Double,8.5,80,Lots of flavor on this one.  One strong beer.,4,2015-07-11,United States,Seattle,WA
Grapefruit Shandy,Jacob Leinenkugel Brewing Company,Radler,4.2,14,"Meh.  It's better than the other Leinie shandies, but the ""fruit"" flavor is still too fake for my tastes.",3,2015-07-12,United States,Chippewa Falls,WI
Hop Smack,Cascade Lakes Brewing Company,IPA - American,6.4,82,NA,3,2015-07-13,United States,Redmond,OR
Conviction Pale Ale,BridgePort Brewing Co.,Pale Ale - American,5.2,40,Thought the flavors were a little off,2.5,2015-07-16,United States,Portland,OR
Drop Top Amber,Widmer Brothers Brewing,Red Ale - American Amber / Red,5,0,Smooth and slightly nutty,4,2015-07-16,United States,Portland,OR
Gigantic IPA,Gigantic Brewing Company,IPA - American,7.3,85,That's good. That's mighty good.,4.5,2015-07-17,United States,Portland,OR
Fruit Salad Cider,Rogue Ales & Spirits,Cider,6.4,0,NA,3,2015-07-18,United States,Newport,OR
Cold Brew IPA,Rogue Ales & Spirits,IPA - American,7.5,82,"What an idea.  The flavors don't quite mesh, but it's pretty good.",3.5,2015-07-18,United States,Newport,OR
Fresh Roast,Rogue Ales & Spirits,Brown Ale - American,5.7,37,Lots of German style here,4,2015-07-18,United States,Newport,OR
7-Hop Cider,Rogue Ales & Spirits,Cider,6.9,0,Extra tart and a subtle hop flavor,3,2015-07-18,United States,Newport,OR
American Amber Ale,Rogue Ales & Spirits,Red Ale - American Amber / Red,5.3,53,Extra malty but pretty smooth,3.5,2015-07-18,United States,Newport,OR
Pamplemousse Citrus IPA,Lompoc Brewing,IPA - American,5.8,70,"Good, but not as citrusy as I like.",3.5,2015-07-21,United States,Portland,OR
Profanity Hill Porter,Schooner Exact Brewing Company,Porter - Other,5.5,33,Excellent flavors,4.5,2015-07-23,United States,Seattle,WA
Kiwanda Cream Ale,Pelican Brewing Company,Cream Ale,5.4,25,The best cream ale I have had.  Smooth and easy to drink with good flavor.,3.5,2015-07-26,United States,Pacific City,OR
American Pale Ale,Knuth Brewing Company,Pale Ale - American,6,40,Needs more flavor.  Flattens out when I expected more hoppy taste.,2.5,2015-08-01,United States,Ripon,WI
Spotted Cow,New Glarus Brewing Company,Saison / Farmhouse Ale,5.1,0,Likely my last Spotted Cow for a very long time.  For some reason it actually tastes pretty good today.,3.25,2015-08-02,United States,New Glarus,WI
Downtown Brown,Pearl Street Brewery (Wisconsin),Brown Ale - English,5.5,0,Yum!,4,2015-08-03,United States,LaCrosse,WI
Grapefruit Sculpin,Ballast Point Brewing & Spirits,IPA - American,7,70,Still great!,4.5,2015-08-03,United States,San Diego,CA
Summer Ale,Summit Brewing Company,KÌ_lsch,4.9,32,Decent summer beer,3,2015-08-05,United States,St. Paul,MN
Wild Blue,Anheuser-Busch,Fruit Beer,8,0,NA,3.75,2015-08-05,United States,St. Louis,MO
Fresh Bongwater Pale Ale,Kettlehouse Brewing Company,Pale Ale - American,5,0,My first hemp ale.  Not too shabby.,3.5,2015-08-07,United States,Missoula,MT
River Session IPA,Kettlehouse Brewing Company,IPA - American,4.6,0,Meh.  Sessions are never as good as the real thing.,2.75,2015-08-07,United States,Missoula,MT
Up 'n Smoke Porter,Kettlehouse Brewing Company,Smoked Beer,5.5,0,Smoked beers are an acquired taste that I do not have.,2.5,2015-08-07,United States,Missoula,MT
Double Haul IPA,Kettlehouse Brewing Company,IPA - English,6.5,65,Solid English IPA.,4,2015-08-07,United States,Missoula,MT
Orbiter IPA,Ecliptic Brewing,IPA - American,7.4,75,Delicious!,4.25,2015-08-09,United States,Portland,OR
Capella Porter,Ecliptic Brewing,Porter - Other,5.2,39,Roasty and tasty,4.25,2015-08-09,United States,Portland,OR
Phobos Single Hop Red Ale,Ecliptic Brewing,Red Ale - American Amber / Red,5.6,34,NA,4,2015-08-09,United States,Portland,OR
Sagittarius B2N,Ecliptic Brewing,Saison / Farmhouse Ale,7,36,Overwhelming Belgian flavor,2.75,2015-08-09,United States,Portland,OR
Hypernova Triple IPA,Ecliptic Brewing,IPA - Triple,12,88,Bam!  That's one strong IPA.,4,2015-08-09,United States,Portland,OR
Spica Pilsner,Ecliptic Brewing,Pilsner - Other,5.5,38,Good flavor for a pilsner,3.5,2015-08-09,United States,Portland,OR
Pilsner,Breakside Brewery,Pilsner - German,5.2,35,Solid summer beer,3.5,2015-08-10,United States,Portland,OR
Dry Stout,Breakside Brewery,Stout - American,4.1,0,NA,4,2015-08-10,United States,Portland,OR
Wanderlust IPA,Breakside Brewery,IPA - American,6.7,50,NA,4,2015-08-10,United States,Portland,OR
India Golden Ale,Breakside Brewery,IPA - Imperial / Double,8.1,80,Just the right amount of fruity hints,4.5,2015-08-10,United States,Portland,OR
Imperial Red,Breakside Brewery,Red Ale - Imperial / Double,8.1,93,NA,4,2015-08-10,United States,Portland,OR
ESB,Breakside Brewery,Extra Special / Strong Bitter,6.2,0,NA,3.5,2015-08-10,United States,Portland,OR
Helix Hoppy Lager,Ecliptic Brewing,Lager - IPL (India Pale Lager),5.8,55,Best lager out there!,4.25,2015-08-11,United States,Portland,OR
IPA,Portland Brewing,IPA - American,6.5,70,NA,3,2015-08-13,United States,Portland,OR
Kilmister's Pub Draught,McMenamins,English Bitter,4.13,36,NA,3,2015-08-14,United States,Portland,OR
Workhorse IPA,Laurelwood Brewing Co.,IPA - American,7.5,80,Piney and subtley citrusy.  Excellent IPA with good hoppy and malty balance.,4.25,2015-08-14,United States,Portland,OR
Hopsation,Woodchuck Cidery,Cider,5,0,Refreshing and nice balance with the hops and the apple flavor,4,2015-08-15,United States,Middlebury,VT
Ramblers Amber Ale,Waltz Brewing,Red Ale - American Amber / Red,0,0,Roasty,4,2015-08-15,United States,Forest Grove,OR
VIP Vanilla Infused Porter,Hop Valley Brewing Company,Porter - American,5.9,50,One of the best porters I have had.  Smooth and nice vanilla flavor.,4.5,2015-08-16,United States,Eugene,OR
1554,New Belgium Brewing Company,Lager - Black,5.6,21,"This beer is excellent anytime.  Great nutty, smooth flavor.  One of my favorite beers.",4.75,2015-08-17,United States,Fort Collins,CO
Gose the Gozerian,Laurelwood Brewing Co.,Gose,4.5,7,NA,4,2015-08-21,United States,Portland,OR
Mother Lode Golden Ale,Laurelwood Brewing Co.,Golden Ale,5.1,25,NA,3.75,2015-08-21,United States,Portland,OR
Free Range Red,Laurelwood Brewing Co.,Red Ale - American Amber / Red,6.2,60,NA,4.25,2015-08-21,United States,Portland,OR
Red Elephant IRA,Laurelwood Brewing Co.,IPA - American,7,70,NA,3.5,2015-08-21,United States,Portland,OR
Deranger Imperial Red,Laurelwood Brewing Co.,Red Ale - Imperial / Double,8.6,0,NA,4.25,2015-08-21,United States,Portland,OR
Tree Hugger Porter,Laurelwood Brewing Co.,Porter - American,5.8,45,NA,4.25,2015-08-21,United States,Portland,OR
Sapporo Premium Lager,Sapporo Breweries,Lager - Japanese Rice,4.7,0,NA,2.5,2015-08-21,Japan,Shibuya-ku,Tokyo
Creekside Cranberry Perry,Bull Run Cider,Cider,5.5,0,NA,3.75,2015-08-22,United States,Forest Grove,OR
Perry Pear Cider,Bull Run Cider,Cider,0,0,NA,3.5,2015-08-22,United States,Forest Grove,OR
Twilight Summer Ale,Deschutes Brewery,Pale Ale - American,5,35,Pretty good.  Definitely tastes like a summer ale with a little more hop than most others.,3.75,2015-08-23,United States,Bend,OR
Black Toad,Trader Joe's (JosephsBrau),Brown Ale - American,5.3,0,"Roasty, caramelly, and pretty smooth.  Extremely dark pour.",3.75,2015-08-23,United States,San Jose,CA
JosephsBrau Dunkelweizen,Trader Joe's (JosephsBrau),Dunkelweizen,5.2,18,NA,3.25,2015-08-24,United States,San Jose,CA
Oktoberfest - Brauhaus Riegele (2015),Sierra Nevada Brewing Co.,MÌ_rzen,6,30,First one of the season.  Not too shabby.,4,2015-08-25,United States,Chico,CA
Inversion IPA,Deschutes Brewery,IPA - American,6.8,80,NA,4,2015-08-26,United States,Bend,OR
Armored Fist CDA,Boneyard Beer Company,IPA - Imperial / Double Black,10,80,Citrusy black deliciousness,4.5,2015-08-27,United States,Bend,OR
Becky's Black Cat,Seven Brides Brewing,Porter - Other,7,0,NA,3.75,2015-08-28,United States,Silverton,OR
Stone IPA,Stone Brewing,IPA - American,6.9,77,One of the best IPAs out there!,4.5,2015-08-30,United States,Escondido,CA
Asahi Super Dry,Asahi Breweries,Lager - Japanese Rice,5,16,Tasty with delicious sushi,3.75,2015-09-01,Japan,Sumida-ku,Tokyo
Fish Tale Vicious Circle,Fish Brewing Company,Red Ale - American Amber / Red,5,35,NA,4,2015-09-02,United States,Olympia,WA
Apricot Ale,Pyramid Breweries,Fruit Beer,5.1,11,Tasty as always,4.25,2015-09-04,United States,Seattle,WA
Fuzzy Haven,Fox-Tail Cider,Cider,6.2,0,"Decent cider, but lacks peach flavor",3,2015-09-05,United States,Hood River,OR
Holy Water(melon),Reverend Nat's Hard Cider,Cider,4.3,0,Unique. Cucumber start and watermelon finish.,4,2015-09-05,United States,Portland,OR
Strawberry Blonde,Astoria Brewing Co.,Fruit Beer,6.1,10,Really lacking strawberry flavor,2,2015-09-05,United States,Astoria,OR
Punkin Ale,Dogfish Head Craft Brewery,Pumpkin / Yam Beer,7,28,Tis the season,3.75,2015-09-05,United States,Milton,DE
Damon Stoutamire,Ex Novo Brewing,Stout - American,6.5,57,"Wow, that is a strong stout!",3.5,2015-09-05,United States,Portland,OR
Wookey Jack,Firestone Walker Brewing Company,IPA - Black / Cascadian Dark Ale,8.3,80,Excellent black IPA,4.25,2015-09-05,United States,Paso Robles,CA
Fruit of the Garden of Good & Evil,Burnside Brewing Co. (Oregon),Fruit Beer,4.5,0,"Good, but a little too spicy on the end for my tastes",3.5,2015-09-06,United States,Portland,OR
Toasted Coconut Chocolate Porter,Caldera Brewing Company,Porter - American,6.2,24,Yum!  Great flavor and smooth,4.5,2015-09-06,United States,Ashland,OR
Stone Coffee Milk Stout,Stone Brewing,Stout - Milk / Sweet,5,40,NA,4.25,2015-09-06,United States,Escondido,CA
Chocolate Stout,Rogue Ales & Spirits,Stout - American,5.8,69,NA,4,2015-09-07,United States,Newport,OR
Arctic Blast Vanilla Porter,Vertigo Brewing,Porter - American,5.8,0,Tasty!,4.25,2015-09-11,United States,Hillsboro,OR
"20"" Brown",Cascade Lakes Brewing Company,Brown Ale - American,5.3,35,NA,4,2015-09-14,United States,Redmond,OR
CoCoNut PorTeR,Maui Brewing Company,Porter - American,6,30,One of my favorites,4.75,2015-09-15,United States,"Lahaina, Maui",HI
Strawberry Fields,Bull Run Cider,Cider,6.5,0,Summer seasonal.  Delicious!!!,4.5,2015-09-17,United States,Forest Grove,OR
