beer_name,brewery,style,abv,ibu,comment,rating,date,brewery_country,brewery_city,brewery_state
Anthem Cherry,Wandering Aengus Ciderworks,Cider,6.2,0,NA,4,2015-09-17,United States,Salem,OR
Gigantic IPA,Gigantic Brewing Company,IPA - American,7.3,85,NA,4.5,2015-09-18,United States,Portland,OR
1811 Lager,Fort George Brewery,Lager - North American Adjunct,5.1,0,Hoppy for a lager.  Not too bad.,3.5,2015-09-19,United States,Astoria,OR
Quick Wit,Fort George Brewery,Witbier,5.5,0,Good for a Belgian.  Not my style though.,3.25,2015-09-19,United States,Astoria,OR
Sunrise Oatmeal Pale Ale,Fort George Brewery,Pale Ale - American,5.2,0,Interesting oaty flavors mixed with hoppiness,3.75,2015-09-19,United States,Astoria,OR
The Optimist,Fort George Brewery,IPA - American,6.2,50,"Big time hoppy flavors, but not too bitter",4,2015-09-19,United States,Astoria,OR
Vortex IPA,Fort George Brewery,IPA - American,7.7,97,I can see why it's their flagship.  Great flavors!,4.5,2015-09-19,United States,Astoria,OR
Working Girl Porter,Fort George Brewery,Porter - American,4.6,30,Strong flavors.  Almost more like a stout.  Still tasty though.,4.25,2015-09-19,United States,Astoria,OR
Cavatica Stout,Fort George Brewery,Stout - American,8.8,0,A little too bitter for my tastes,2.75,2015-09-19,United States,Astoria,OR
North VII,Fort George Brewery,IPA - Belgian,9,0,"If I liked Belgians, I would like this.",3,2015-09-19,United States,Astoria,OR
3-Way IPA (2015),Fort George Brewery,IPA - American,5.7,70,NA,3.5,2015-09-19,United States,Astoria,OR
Plaid Scotch Ale,Fort George Brewery,Scotch Ale / Wee Heavy,7,0,"The best scotch ale I have ever had, still strange though.",3.25,2015-09-19,United States,Astoria,OR
The Road To Rye,Fort George Brewery,Rye Beer / Rye IPA,6,0,Missing a little flavor compared to their other IPAs but decent for a RyePA.,3,2015-09-19,United States,Astoria,OR
"Anni, Are You Oak-Aged?",Fort George Brewery,Scotch Ale / Wee Heavy,9.7,0,Meh.  All I taste is whiskey.,2.5,2015-09-19,United States,Astoria,OR
Squashed Stout,Fort George Brewery,Stout - Other,6.7,0,Interesting squash flavor.  Tastes more like a porter than a stout.,4.25,2015-09-19,United States,Astoria,OR
Eruption Imperial Red,Worthy Brewing,Red Ale - Imperial / Double,8,100,"Wow, that's an excellent red!",4.5,2015-09-21,United States,Bend,OR
Kick Axe Pale Ale,Lompoc Brewing,Pale Ale - American,5.2,40,NA,4.25,2015-09-21,United States,Portland,OR
Stout,Cerveza Ave Negra,Dark Ale,5,0,Excellent dark ale from Argentina!,4.25,2015-09-23,Argentina,NA,NA
Harvest Patch Shandy,Jacob Leinenkugel Brewing Company,Pumpkin / Yam Beer,4.2,11,Why do I continue to try these Leinie shandies...? Always mediocre.,1.75,2015-09-25,United States,Chippewa Falls,WI
Loser Pale Ale,Elysian Brewing,Pale Ale - American,7,50,A little too malty for me,3,2015-09-26,United States,Seattle,WA
Summer Honey,Angry Orchard Cider Company,Cider,5,0,Good lingering honey flavor,4,2015-09-27,United States,Cincinnati,OH
Seasonal Release Oktoberfest,Ninkasi Brewing Company,MÌ_rzen,5.9,25,First o-fest of the year and it's mighty tasty!,4.25,2015-09-28,United States,Eugene,OR
Rauchbier,Cerveza Artesanal Reina Serrana,Rauchbier,4.5,0,By far the worst beer I have ever tried.  Smoked beers are gross.,0.25,2015-09-29,Argentina,Sierra de La Ventana,Buenos Aires
Night Owl Pumpkin Ale,Elysian Brewing,Pumpkin / Yam Beer,5.9,0,The best pumpkin ale I have had (non-Porter),3.75,2015-09-29,United States,Seattle,WA
Pumpkin Wheat,Shock Top Brewing Co.,Pumpkin / Yam Beer,5.1,0,Very little flavor,2,2015-09-30,United States,St Louis,MO
Quilter's Irish Death,Iron Horse Brewery,Strong Ale - American,7.8,0,Tasty dark ale!,4.25,2015-10-01,United States,Ellensburg,WA
Pumpkin Ale,Laurelwood Brewing Co.,Pumpkin / Yam Beer,7.5,25,Good flavors and nice pumpkin flavor,4,2015-10-04,United States,Portland,OR
Hop Stout (Hop Kitchen #10),New Belgium Brewing Company,Stout - Imperial / Double,8,100,Tasty dark IPA/stout hybrid,4.25,2015-10-05,United States,Fort Collins,CO
GravensTime,Lagunitas Brewing Company,Fruit Beer,5.8,0,Cider/IPA hybrid.  Good stuff.,3.75,2015-10-05,United States,Petaluma,CA
Vlad The Imp Aler,Cascade Brewing Company (USA),American Wild Ale,10.3,0,NA,4.25,2015-10-06,United States,Portland,OR
Apricot Ale (2014),Cascade Brewing Company (USA),Sour Ale,7.6,0,Yum!,4.5,2015-10-06,United States,Portland,OR
Cranberry (2014),Cascade Brewing Company (USA),Sour Ale,8.2,0,NA,2,2015-10-06,United States,Portland,OR
Blueberry,Cascade Brewing Company (USA),American Wild Ale,7.33,0,NA,4.25,2015-10-06,United States,Portland,OR
Blackcap Raspberry (2015),Cascade Brewing Company (USA),American Wild Ale,7.56,0,NA,4.25,2015-10-06,United States,Portland,OR
Black Bear XX,Alameda Brewing Co.,Stout - Foreign / Export,7,0,NA,4,2015-10-08,United States,Portland,OR
Evil Twin,Heretic Brewing Company,Red Ale - Imperial / Double,6.8,45,"A little flat, but good reddish flavors.",3.5,2015-10-10,United States,Fairfield,CA
Wholesome Apple,Swift Cider,Cider,6,0,"Nice, crisp apple.  Not too sweet.",4,2015-10-10,United States,Portland,OR
Evil Harvest,Crooked Fence Brewing,Pumpkin / Yam Beer,6,0,Meh.  It's OK.  Not much pumpkin flavor.,2.75,2015-10-10,United States,Garden City,ID
Original Amber Ale,Oakshire Brewing,Red Ale - American Amber / Red,5.4,24,Decent,3.75,2015-10-12,United States,Eugene,OR
Opal S.A.S.H. Cider,Cider Riot,Cider,6.9,0,Strange flavor,2,2015-10-14,United States,Portland,OR
Strawberry Fields,Bull Run Cider,Cider,6.5,0,One of best ciders I've had!,4.75,2015-10-14,United States,Forest Grove,OR
Pomegranate Cider,Two Rivers Cider Company,Cider,6.5,0,Awesome color and pom flavor,4,2015-10-14,United States,Sacramento,CA
Tart Apple,Bull Run Cider,Cider,0,0,It's just a tester.  Decent but not spectacular.,2.25,2015-10-14,United States,Forest Grove,OR
Pinup Porter,Southern Oregon Brewing (SOB),Porter - Other,5.5,30,"Decent flavor, but it is really lacking on carbonation",3.25,2015-10-23,United States,Medford,OR
Nukin' Futz,Track 7 Brewing Company,Porter - American,7.3,0,Peanut butter roasty delicious,4.25,2015-10-24,United States,Sacramento,CA
1763 West Country,Cider Riot,Cider,6.9,0,Gross,1.25,2015-10-24,United States,Portland,OR
Salted Caramel Brownie Brown Ale,New Belgium Brewing Company,Brown Ale - American,6.3,14,Not too sweet.  Great brown ale.,4.5,2015-10-26,United States,Fort Collins,CO
Vinter Varmer,Laurelwood Brewing Co.,Winter Ale,6.4,49,"Good, but it's missing some roasty flavor",3.75,2015-10-27,United States,Portland,OR
Paddle Board Porter,Cascade Lakes Brewing Company,Porter - American,5.4,34,Tasty nutty flavors.  A little rich at the end but still a good porter.,4,2015-10-28,United States,Redmond,OR
Organic Porter,Eel River Brewing Co.,Porter - American,5.8,19,"Solid.  Nothing special, but a good porter.",3.5,2015-10-29,United States,Fortuna,CA
Overcast Espresso Stout,Oakshire Brewing,Stout - Other,5.8,37,Wow.  That is an incredible coffee stout!,4.75,2015-10-31,United States,Eugene,OR
Breakfast Porter,Terminal Gravity Brewing (TG),Porter - American,5.7,40,Interesting hoppy and roasty flavors,4,2015-11-01,United States,Enterprise,OR
Cinnamon Horchata Ale,Blue Moon Brewing Company,Herbed / Spiced Beer,5.5,25,"Excellent cinnamon flavors.  Not much rice milk flavor, but that might be a good sign for a beer.",4.25,2015-11-02,United States,Denver,CO
Chai Spiced Ale,Blue Moon Brewing Company,Herbed / Spiced Beer,5.4,0,A little too heavy on the spices,3,2015-11-05,United States,Denver,CO
White IPA,Blue Moon Brewing Company,IPA - White,5.9,45,"Nothing special, but not too shabby",3,2015-11-06,United States,Denver,CO
IRA,Double Mountain Brewery & Taproom,IPA - American,6.5,65,Pretty good.  Needs a little more red/malty flavor.,3.5,2015-11-07,United States,Hood River,OR
S'more Stout,Base Camp Brewing Company,Stout - American,7.7,70,NA,4,2015-11-07,United States,Portland,OR
New Wave Amber,Base Camp Brewing Company,Lager - American Amber / Red,5.6,20,NA,4,2015-11-07,United States,Portland,OR
Envy (7 Deadly Sins),Reverend Nat's Hard Cider,Cider,10.2,85,Huge apple flavor followed by straight booze tastes and then a little hops to finish.,4.5,2015-11-08,United States,Portland,OR
Black Widow Porter,McMenamins,Porter - American,7.35,38,NA,4.25,2015-11-08,United States,Portland,OR
Ruby,McMenamins,Fruit Beer,4,5,Tasty raspberry ale,4,2015-11-08,United States,Portland,OR
Pumpkin Ale,Laurelwood Brewing Co.,Pumpkin / Yam Beer,7.5,25,Solid,4,2015-11-13,United States,Portland,OR
Fall Saison,Laurelwood Brewing Co.,Saison / Farmhouse Ale,6.4,25,Mighty hoppy saison.  Pretty good.,3.5,2015-11-13,United States,Portland,OR
Space Stout,Laurelwood Brewing Co.,Stout - Other,6.5,0,"Great coffee, chocolate, and roasty flavors",4.5,2015-11-13,United States,Portland,OR
Anchor Steam Beer,Anchor Brewing Company,California Common,4.8,35,Not too shabby,3.5,2015-11-13,United States,San Francisco,CA
Ace Pineapple Cider,Ace Cider (The California Cider Company),Cider,5,0,Delicious!,4.5,2015-11-14,United States,Sebastopol,CA
Double Chocolate Stout,Rogue Ales & Spirits,Stout - American Imperial / Double,8.8,68,Perfect chocolate flavor,5,2015-11-14,United States,Newport,OR
Hazelnut Brown Nectar,Rogue Ales & Spirits,Brown Ale - American,5.6,33,So good on tap,5,2015-11-14,United States,Newport,OR
Mocha Porter,Rogue Ales & Spirits,Porter - American,5.3,54,Decent,3,2015-11-14,United States,Newport,OR
Fresh Roast Brown Ale,Issaquah Brew House (Rogue Ales),Brown Ale - Belgian,0,0,Excellent brown,4.5,2015-11-14,United States,Issaquah,WA
American Amber Ale,Rogue Ales & Spirits,Red Ale - American Amber / Red,5.3,53,NA,3.75,2015-11-14,United States,Newport,OR
Rogue Farms OREgasmic Ale,Rogue Ales & Spirits,Pale Ale - American,6.6,77,Roasty and excellently malty,4.5,2015-11-15,United States,Newport,OR
Shakespeare Oatmeal Stout,Rogue Ales & Spirits,Stout - Oatmeal,6,69,Tasty on nitro,4.25,2015-11-15,United States,Newport,OR
Yellow Snow IPA,Rogue Ales & Spirits,IPA - American,6.6,82,"Tons of hops, interesting taste",4,2015-11-15,United States,Newport,OR
XS Russian Imperial Stout,Rogue Ales & Spirits,Stout - Russian Imperial,11,88,"Wow, that's a strong stout",4.25,2015-11-15,United States,Newport,OR
Vina,21st Amendment Brewery,Blonde Ale - Belgian Blonde / Golden,5.4,10,Tasty easy-drinking Belgian,4,2015-11-16,United States,San Francisco,CA
Dr Frudi,21st Amendment Brewery,Pale Ale - American,5.6,35,Classic hoppy pale,4,2015-11-16,United States,San Francisco,CA
Bruges Rouge,21st Amendment Brewery,Other,6.9,65,Tasty IRA.  Not too much Belgian flavor.,4.25,2015-11-16,United States,San Francisco,CA
Kriek Forte D'Or,21st Amendment Brewery,Belgian Strong Pale Ale,9.5,26,"Still don't like strong Belgians.  If I did, I would probably like this.",3,2015-11-16,United States,San Francisco,CA
Brew Free! or Die IPA,21st Amendment Brewery,IPA - American,7,70,Hoppy and tasty,4,2015-11-16,United States,San Francisco,CA
Drunken Monk Ale,21st Amendment Brewery,Belgian Strong Dark Ale,9.3,37,Way too much Belgian here,2,2015-11-16,United States,San Francisco,CA
Punkuccino Coffee Pumpkin Ale (2015),Elysian Brewing,Pumpkin / Yam Beer,5,0,NA,4.25,2015-11-18,United States,Seattle,WA
Salted Caramel Brownie Brown Ale,New Belgium Brewing Company,Brown Ale - American,6.3,14,Even better on tap!,4.75,2015-11-18,United States,Fort Collins,CO
Cinnamon Pear Cider,Atlas Cider Company,Cider,8.5,0,Sweet and delicious,4.75,2015-11-18,United States,Bend,OR
I Like My Sugar With Coffee & Cream,Ex Novo Brewing,Cream Ale,4.5,15,Meh.  A little bland.,3,2015-11-18,United States,Portland,OR
Winter Abbey Spice,Reverend Nat's Hard Cider,Cider,7.4,0,Big cinnamon flavors and can taste the alcohol in a subtle and excellent way,4.75,2015-11-18,United States,Portland,OR
Imperial Black Ipa,Culmination Brewery,Dark Ale,5,0,Hoppy and smooth imperial IBA,4.25,2015-11-18,United States,Portland,OR
KÌ_lsch,Double Mountain Brewery & Taproom,KÌ_lsch,5.2,40,Solid German brew,4,2015-11-21,United States,Hood River,OR
Belgian White,Blue Moon Brewing Company,Witbier,5.4,9,"A little sweet, but not terrible.  Amazing this used to be my go-to beer.",2.75,2015-11-22,United States,Denver,CO
Noir,Ninkasi Brewing Company,Stout - Milk / Sweet,7.6,60,"Excellent coffee, cream, and chocolate flavors",4.5,2015-11-26,United States,Eugene,OR
'Alal€Å Hawaiian Crow Porter,Mehana Brewing Company,Porter - American,5.25,27,NA,4,2015-11-28,United States,Hilo,HI
Peanut Butter Milk Stout,Belching Beaver Brewery,Stout - Milk / Sweet,5.3,30,NA,3,2015-11-28,United States,Vista,CA
Koko Brown,Kona Brewing Company,Brown Ale - American,5.5,28,Coconutty delicious,4,2015-11-29,United States,Kailua-Kona,HI
Pipeline Porter,Kona Brewing Company,Porter - American,5.3,23,Excellent coffee flavors,4.5,2015-11-29,United States,Kailua-Kona,HI
Black Sand Porter,Kona Brewing Company,Porter - American,6.5,0,NA,3.5,2015-11-29,United States,Kailua-Kona,HI
White Mountain Porter,Big Island Brewhaus,Porter - Other,5.8,35,Excellent coconut flavor.  Needs a little more carbonation though.,4,2015-11-30,United States,Kamuela,HI
Big Wave Golden Ale,Kona Brewing Company,Golden Ale,4.4,5,Tasty on a warm day,4,2015-12-01,United States,Kailua-Kona,HI
Pipeline Porter,Kona Brewing Company,Porter - American,5.3,23,Delicious in the bottle!,4.5,2015-12-02,United States,Kailua-Kona,HI
Breakside IPA,Breakside Brewery,IPA - American,6.8,70,NA,4.25,2015-12-03,United States,Portland,OR
Kihei KÌ_lsch,Maui Brewing Company,KÌ_lsch,5.2,42,NA,3,2015-12-03,United States,"Lahaina, Maui",HI
Stella Artois,Stella Artois,Lager - Euro,5,24,Meh.  My options were this or Coors Light.,2.5,2015-12-05,Belgium,3000 Leuven,Vlaams-Brabant
Lavaman Red Ale,Kona Brewing Company,Red Ale - American Amber / Red,5.6,30,Solid red.  Nice maltiness.,4,2015-12-06,United States,Kailua-Kona,HI
Crisp Apple,Angry Orchard Cider Company,Cider,5,0,Sweet and tasty,4,2015-12-06,United States,Cincinnati,OH
CoCoNut PorTeR,Maui Brewing Company,Porter - American,6,30,An almost perfect Porter.  Even better on tap!,4.75,2015-12-07,United States,"Lahaina, Maui",HI
Lahaina Town Brown,Maui Brewing Company,Brown Ale - American,5.3,18,Tasty brown with good nutty flavors,4,2015-12-07,United States,"Lahaina, Maui",HI
10 Degrees of Separation,Coronado Brewing Company,Brown Ale - American,5.5,30,"Great nutty, coffee, and slight hoppy flavor",4.5,2015-12-07,United States,San Diego,CA
Paia Porter,Kona Brewing Company,Porter - Other,6.5,0,Solid porter. Not as good as Pipeline though.,4,2015-12-07,United States,Kailua-Kona,HI
ESB,Redhook Brewery,Extra Special / Strong Bitter,5.8,28,Smooth double IPA taste,3.75,2015-12-07,United States,Woodinville,WA
Double Overtime,Maui Brewing Company,IPA - Imperial / Double,9,100,Tasty imperial with great hoppy flavor but not too bitter,4.5,2015-12-07,United States,"Lahaina, Maui",HI
Chronic Amber Ale,Pizza Port Brewing Co.,Red Ale - American Amber / Red,4.9,0,"Easy drinking amber.  Was expecting more from a marijuana themed beer, but I suppose the skunkiness not being there is good",3.75,2015-12-07,United States,Carlsbad,CA
Pliny the Elder,Russian River Brewing Company,IPA - Imperial / Double,8,100,Possibly the greatest IPA I have ever had.  Wow!,5,2015-12-10,United States,Santa Rosa,CA
Oats Face,Sierra Nevada Brewing Co.,Extra Special / Strong Bitter,7.1,59,Meh.  Not a great ESB.,2.25,2015-12-10,United States,Chico,CA
Stochasticity Project Your Father Smelt of Elderberries,Stone Brewing,Gruit / Ancient Herbed Ale,10.3,50,Way too smoky,2,2015-12-10,United States,Escondido,CA
Jack Rose,Perennial Artisan Ales,Fruit Beer,8,0,Tasty cinnamon flavors,4,2015-12-10,United States,St Louis,MO
Chocolate Hazelnut Porter,Heretic Brewing Company,Porter - Other,7,33,Very smooth and good hazelnut flavor.  A little lacking on chocolate though.,4.25,2015-12-10,United States,Fairfield,CA
Mad Bark,Ciderboys Hard Cider,Cider,5,0,Cinnamony goodness,4.5,2015-12-11,United States,Stevens Point,WI
Dank Hop,Swift Cider,Cider,6.7,0,Tastes like a pineapple sour.  Pretty good,4,2015-12-11,United States,Portland,OR
Chocolate Porter,Block 15 Brewing Company,Porter - Other,5.5,22,Roasty with interesting bitter chocolate notes,4,2015-12-11,United States,Corvallis,OR
Ivan The Terrible,Big Sky Brewing Company,Stout - Russian Imperial,9.5,65,These Russian imperials are still a little much for me,3.5,2015-12-11,United States,Missoula,MT
Sled Wreck Winter Ale,Barley Brown's Beer,Winter Ale,8.5,75,Hoppy for a winter,3.75,2015-12-11,United States,Baker City,OR
Cherry Chocoholic Baltic Porter,Rusty Truck Brewing,Porter - Baltic,7.2,0,A little too bitter for my tastes,3.75,2015-12-11,United States,Lincoln City,OR
The Abyss (2015),Deschutes Brewery,Stout - American Imperial / Double,12.2,70,Definitely a one beer drunk kind of beer.  One of the best imperial stouts out there though.,4.5,2015-12-18,United States,Bend,OR
Rhubarbarian,2 Towns Ciderhouse,Cider,5,0,A little too sweet and lacking rhubarb flavor,3.25,2015-12-19,United States,Corvallis,OR
Das-Schutes Munich IPA,Deschutes Brewery,IPA - American,6.2,52,Nice mix of lager and hoppy flavors,4,2015-12-19,United States,Bend,OR
Hop Henge Experimental IPA (2015),Deschutes Brewery,IPA - Imperial / Double,9.5,95,Ew.  Weird piney taste.,1,2015-12-19,United States,Bend,OR
Sage Fight IPA,Deschutes Brewery,IPA - American,7.3,97,Strange flavors here too.  Expecting sage but it's a weird fake sage.,1,2015-12-19,United States,Bend,OR
Armory XPA,Deschutes Brewery,Pale Ale - American,5.9,58,Subtle pine,3.5,2015-12-19,United States,Bend,OR
The Dissident,Deschutes Brewery,Flanders Oud Bruin,10.5,18,Tasty sour brown ale,4,2015-12-19,United States,Bend,OR
Red Chair NWPA,Deschutes Brewery,Pale Ale - American,6.2,60,NA,3.5,2015-12-19,United States,Bend,OR
Sour Quad,Deschutes Brewery,Sour Ale,12,52,Super boozy but good flavor,4,2015-12-19,United States,Bend,OR
Hard Blackberry Cider,Atlas Cider Company,Cider,6.2,0,"Really sweet, pretty good flavor, but lacks carbonation",3.75,2015-12-20,United States,Bend,OR
Hard Apricot Cider,Atlas Cider Company,Cider,6.2,0,Excellent apricot flavor without being too sweet,4.5,2015-12-22,United States,Bend,OR
Santa's Private Reserve Ale,Rogue Ales & Spirits,Red Ale - American Amber / Red,5.1,74,Solid red,4,2015-12-23,United States,Newport,OR
XS Old Crustacean Barleywine,Rogue Ales & Spirits,Barleywine - American,11.5,110,"Definitely a sipper, but pretty good",4.25,2015-12-23,United States,Newport,OR
Dead Guy Ale,Rogue Ales & Spirits,Maibock/Helles Bock,6.5,40,Really malty but tasty,4,2015-12-25,United States,Newport,OR
Abominable Winter Ale,Hopworks Urban Brewery,Winter Ale,7.3,70,"Great hoppy flavor well-balanced with maltiness and slight spicy undertones.  By far, the best winter ale I have had.",4.25,2015-12-26,United States,Portland,OR
Apple,Portland Cider Company,Cider,5.5,0,Not too sweet with great apple flavor.  Good stuff.,4.5,2015-12-26,United States,Clackamas,OR
åÁTepache!,Reverend Nat's Hard Cider,Cider,3.2,0,Excellent by itself.  Great subtle pineapple near the end.,4.25,2015-12-27,United States,Portland,OR
Ace Perry Cider,Ace Cider (The California Cider Company),Perry,5,0,Too sweet for me,3,2015-12-27,United States,Sebastopol,CA
Inversion IPA,Deschutes Brewery,IPA - American,6.8,80,Hoppy and a little too bitter for me,3.75,2015-12-27,United States,Bend,OR
Stiegl Radler Grapefruit NaturtrÌ_b,Stieglbrauerei zu Salzburg,Radler,2,0,"Tastes almost exactly like Squirt soda, and it makes sense that it should with only 2% ABV.  Good thing I like grapefruit soda.",3.75,2015-12-27,Austria,Salzburg,NA
Survival Stout,Hopworks Urban Brewery,Stout - Other,5.8,35,Tasty coffee stout,4.25,2015-12-28,United States,Portland,OR
Indian Brown Ale,Dogfish Head Craft Brewery,Brown Ale - American,7.2,50,One of my favorites.  Perfect mix of hoppiness and roasty maltiness.,4.5,2015-12-29,United States,Milton,DE
Spaten Optimator,Spaten-Franziskaner-LÌ_wenbrÌ_u-Gruppe,Doppelbock,7.6,0,Excellent malty German flavor,4.25,2015-12-29,Germany,MÌ_nchen,NA
Super Snow Cap,Pyramid Breweries,Strong Ale - American,8.7,51,Solid,4,2015-12-30,United States,Seattle,WA
Merry Christmas & Happy New Year (Our Special Ale) (2015),Anchor Brewing Company,Winter Warmer,5.5,0,"Strong, strange sour bitter flavor",2,2015-12-31,United States,San Francisco,CA
Ace Berry Cider,Ace Cider (The California Cider Company),Cider,5,0,Tasty,4,2015-12-31,United States,Sebastopol,CA
Dubhe Imperial Black IPA,Uinta Brewing Company,IPA - Imperial / Double Black,9.2,109,"Good, but really bitter.  109 IBUs!",4,2015-12-31,United States,Salt Lake City,UT
Amber,Abita Brewing Company,Lager - American Amber / Red,4.5,17,Easily drinkable but nothing special,3,2016-01-01,United States,Abita Springs,LA
Dry Raspberry Hard Cider,Wyder's Cider,Cider,4,0,Tasty and not too sweet,4,2016-01-01,United States,Middlebury,VT
Hopworks IPA,Hopworks Urban Brewery,IPA - American,6.6,75,"An IPA worth recommending.  It isn't quite as good as Bell's Two Hearted, but one of the best IPAs in Portland.",4.25,2016-01-02,United States,Portland,OR
Downtown Brown,Lost Coast Brewery,Brown Ale - English,5,16,NA,3.25,2016-01-03,United States,Eureka,CA
Motherland,Hopworks Urban Brewery,Stout - Russian Imperial,9.8,60,Intense flavors with slight bourbon finish,4.25,2016-01-04,United States,Portland,OR
Steam Train Porter,Snoqualmie Falls Brewing Company,Porter - American,5,28,Nice coffee flavor,4.25,2016-01-05,United States,Snoqualmie,WA
Lucille,Georgetown Brewing Company,IPA - American,7,85,Huge hoppy flavors,4.25,2016-01-05,United States,Seattle,WA
Dragonstooth Stout,Elysian Brewing,Stout - Imperial Oatmeal,7.45,36,Creamy and delicious,4.25,2016-01-05,United States,Seattle,WA
Shakedown,Black Market Brewing Co.,Brown Ale - American,5.5,40,On nitro!  Nice idea for a brown,4,2016-01-05,United States,Temecula,CA
Naughty Nellie,The Pike Brewing Company,Golden Ale,4.7,24,NA,3.25,2016-01-06,United States,Seattle,WA
Pike Pale,The Pike Brewing Company,Red Ale - American Amber / Red,5,32,NA,3.5,2016-01-06,United States,Seattle,WA
Scotch Style Ruby Ale,The Pike Brewing Company,Scottish Ale,6.5,27,NA,3.25,2016-01-06,United States,Seattle,WA
XXXXX Pike Stout,The Pike Brewing Company,Stout - American,7,65,NA,3.75,2016-01-06,United States,Seattle,WA
Monk's Uncle,The Pike Brewing Company,Belgian Tripel,9,38,NA,3,2016-01-06,United States,Seattle,WA
IPA (India Pale Ale),The Pike Brewing Company,IPA - American,6.3,60,NA,3,2016-01-06,United States,Seattle,WA
Joe STOUT,Backwoods Brewing Company,Stout - Milk / Sweet,5,20,Tasty milk stout on nitro,4.25,2016-01-07,United States,Carson,WA
Shades Black Ale,Wild Ride Brewing,Dark Ale,5.4,35,Tasty session-like stout,4.25,2016-01-07,United States,Redmond,OR
Arrogant Bastard Ale (Bourbon Barrel Aged),Arrogant Brewing,Strong Ale - American,8.1,100,Massive strong ale with big bourbon finish,3.75,2016-01-07,United States,Escondido,CA
Winter Warmer,Big Al Brewing,Winter Warmer,7.5,0,Excellent winter ale.  The fig and hops come through nicely.,4.25,2016-01-07,United States,Seattle,WA
Anthem Hops Special Edition Fresh Hopped (Unfiltered),Wandering Aengus Ciderworks,Cider,6.2,0,NA,3.5,2016-01-08,United States,Salem,OR
Black & Blue,Julian Hard Cider,Cider,6.99,0,NA,4.25,2016-01-08,United States,Julian,CA
Wayward Black Beer,Holy Mountain Brewing,Dark Ale,4.5,0,NA,4,2016-01-08,United States,Seattle,WA
Hop'Rageous,Portland Cider Company,Cider,6.8,0,Nice hoppy with slight apple flavor,4.25,2016-01-10,United States,Clackamas,OR
Cherry Bomb,Julian Hard Cider,Cider,6.99,0,Excellent cherry finish and not too sweet,4.25,2016-01-11,United States,Julian,CA
8 Malty Nights,Lompoc Brewing,Porter - American,6.5,0,Excellent flavors and quite possibly the perfect nitro beer,4.5,2016-01-12,United States,Portland,OR
Slippery Slope,Cascade Lakes Brewing Company,Winter Warmer,6.4,50,Lacks flavor but it's decent,3,2016-01-12,United States,Redmond,OR
Snow Day,New Belgium Brewing Company,Winter Ale,6.2,0,Not too shabby.  Classic New Belgium.,3.5,2016-01-13,United States,Fort Collins,CO
Citradelic IPA,New Belgium Brewing Company,IPA - American,6,50,By far New Belgium's best IPA.  The subtle citrus really balances it well.,4.5,2016-01-13,United States,Fort Collins,CO
Censored Rich Copper Ale (aka The Kronik),Lagunitas Brewing Company,Red Ale - American Amber / Red,6.75,35,"Pretty good amber.  I have no idea what ""copper"" tastes like, but this tastes exactly like it.",3.5,2016-01-13,United States,Petaluma,CA
Brown Shugga',Lagunitas Brewing Company,Strong Ale - American,9.8,51,Definitely funky.  Sweet but also boozy.,4,2016-01-14,United States,Petaluma,CA
Dunkel,Occidental Brewing Co.,Lager - Dunkel Munich,5.3,0,Tasty German brew,4,2016-01-15,United States,Portland,OR
Brown,Full Sail Brewing Company,Brown Ale - American,6,0,Solid nut brown ale,4,2016-01-15,United States,Hood River,OR
Tsunami Stout,Pelican Brewing Company,Stout - Foreign / Export,7,45,Creamy and delicious on nitro,4.5,2016-01-16,United States,Pacific City,OR
